Epoch: [0][0/97], lr: 0.00200	Loss 3.1156 (3.1156)	Prec@1 4.688 (4.688)	Prec@5 21.094 (21.094)
Epoch: [0][10/97], lr: 0.00200	Loss 1.9137 (2.2240)	Prec@1 24.219 (30.327)	Prec@5 93.750 (83.097)
Epoch: [0][20/97], lr: 0.00200	Loss 1.7056 (2.0058)	Prec@1 39.844 (35.751)	Prec@5 93.750 (87.723)
Epoch: [0][30/97], lr: 0.00200	Loss 1.5194 (1.8799)	Prec@1 48.438 (38.659)	Prec@5 95.312 (88.936)
Epoch: [0][40/97], lr: 0.00200	Loss 1.4644 (1.7963)	Prec@1 54.688 (41.654)	Prec@5 93.750 (89.672)
Epoch: [0][50/97], lr: 0.00200	Loss 1.4912 (1.7429)	Prec@1 57.812 (43.490)	Prec@5 92.969 (90.380)
Epoch: [0][60/97], lr: 0.00200	Loss 1.5002 (1.7061)	Prec@1 56.250 (45.223)	Prec@5 95.312 (90.791)
Epoch: [0][70/97], lr: 0.00200	Loss 1.2272 (1.6623)	Prec@1 55.469 (46.369)	Prec@5 95.312 (91.065)
Epoch: [0][80/97], lr: 0.00200	Loss 1.7445 (1.6365)	Prec@1 48.438 (47.425)	Prec@5 92.969 (91.348)
Epoch: [0][90/97], lr: 0.00200	Loss 1.3160 (1.6131)	Prec@1 53.125 (48.240)	Prec@5 96.094 (91.655)
Epoch [0] Training Results: Prec@1 48.638 Prec@5 91.827             Loss 1.60249
Epoch [0] Training Class Recall: [0.721,0.572,0.364,0.024,0.057,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/97], lr: 0.00400	Loss 1.4928 (1.4928)	Prec@1 54.688 (54.688)	Prec@5 93.750 (93.750)
Epoch: [1][10/97], lr: 0.00400	Loss 1.6316 (1.5136)	Prec@1 46.875 (52.628)	Prec@5 96.094 (93.111)
Epoch: [1][20/97], lr: 0.00400	Loss 1.1679 (1.5200)	Prec@1 59.375 (52.939)	Prec@5 92.969 (93.304)
Epoch: [1][30/97], lr: 0.00400	Loss 1.5280 (1.5053)	Prec@1 47.656 (52.722)	Prec@5 96.875 (93.498)
Epoch: [1][40/97], lr: 0.00400	Loss 1.6327 (1.5061)	Prec@1 50.781 (52.763)	Prec@5 95.312 (93.655)
Epoch: [1][50/97], lr: 0.00400	Loss 1.6708 (1.5013)	Prec@1 51.562 (53.094)	Prec@5 91.406 (93.643)
Epoch: [1][60/97], lr: 0.00400	Loss 1.3928 (1.4864)	Prec@1 53.906 (53.599)	Prec@5 96.094 (93.648)
Epoch: [1][70/97], lr: 0.00400	Loss 1.1690 (1.4662)	Prec@1 64.062 (54.743)	Prec@5 96.094 (93.838)
Epoch: [1][80/97], lr: 0.00400	Loss 1.2298 (1.4521)	Prec@1 58.594 (55.285)	Prec@5 94.531 (93.943)
Epoch: [1][90/97], lr: 0.00400	Loss 1.2416 (1.4428)	Prec@1 68.750 (56.010)	Prec@5 93.750 (93.956)
Epoch [1] Training Results: Prec@1 56.223 Prec@5 93.914             Loss 1.43785
Epoch [1] Training Class Recall: [0.771,0.719,0.464,0.101,0.039,0.000,0.000,0.000,0.000,0.000]

Epoch: [2][0/97], lr: 0.00600	Loss 1.1740 (1.1740)	Prec@1 64.844 (64.844)	Prec@5 95.312 (95.312)
Epoch: [2][10/97], lr: 0.00600	Loss 1.2950 (1.3141)	Prec@1 66.406 (63.139)	Prec@5 96.094 (94.815)
Epoch: [2][20/97], lr: 0.00600	Loss 1.4351 (1.3506)	Prec@1 57.031 (61.868)	Prec@5 93.750 (94.643)
Epoch: [2][30/97], lr: 0.00600	Loss 1.6381 (1.3662)	Prec@1 52.344 (60.408)	Prec@5 95.312 (94.556)
Epoch: [2][40/97], lr: 0.00600	Loss 1.2566 (1.3606)	Prec@1 60.938 (60.232)	Prec@5 92.969 (94.550)
Epoch: [2][50/97], lr: 0.00600	Loss 1.0548 (1.3584)	Prec@1 71.094 (60.463)	Prec@5 98.438 (94.746)
Epoch: [2][60/97], lr: 0.00600	Loss 1.3324 (1.3520)	Prec@1 62.500 (60.348)	Prec@5 98.438 (94.787)
Epoch: [2][70/97], lr: 0.00600	Loss 1.4001 (1.3530)	Prec@1 65.625 (60.761)	Prec@5 96.094 (94.894)
Epoch: [2][80/97], lr: 0.00600	Loss 1.3601 (1.3634)	Prec@1 57.031 (60.696)	Prec@5 92.969 (94.724)
Epoch: [2][90/97], lr: 0.00600	Loss 1.5245 (1.3623)	Prec@1 58.594 (60.834)	Prec@5 94.531 (94.677)
Epoch [2] Training Results: Prec@1 60.890 Prec@5 94.712             Loss 1.35148
Epoch [2] Training Class Recall: [0.824,0.739,0.521,0.261,0.000,0.003,0.000,0.000,0.000,0.000]

Epoch: [3][0/97], lr: 0.00800	Loss 1.2306 (1.2306)	Prec@1 63.281 (63.281)	Prec@5 96.094 (96.094)
Epoch: [3][10/97], lr: 0.00800	Loss 1.1996 (1.2585)	Prec@1 67.969 (63.068)	Prec@5 96.875 (95.028)
Epoch: [3][20/97], lr: 0.00800	Loss 1.1689 (1.3118)	Prec@1 61.719 (62.314)	Prec@5 95.312 (94.680)
Epoch: [3][30/97], lr: 0.00800	Loss 1.3368 (1.3308)	Prec@1 62.500 (61.719)	Prec@5 96.875 (94.657)
Epoch: [3][40/97], lr: 0.00800	Loss 1.5397 (1.3188)	Prec@1 60.156 (61.890)	Prec@5 93.750 (94.798)
Epoch: [3][50/97], lr: 0.00800	Loss 1.1603 (1.2991)	Prec@1 73.438 (62.960)	Prec@5 96.875 (95.037)
Epoch: [3][60/97], lr: 0.00800	Loss 1.0828 (1.2915)	Prec@1 62.500 (63.192)	Prec@5 93.750 (95.018)
Epoch: [3][70/97], lr: 0.00800	Loss 1.0593 (1.3007)	Prec@1 65.625 (63.314)	Prec@5 95.312 (94.993)
Epoch: [3][80/97], lr: 0.00800	Loss 1.4314 (1.3070)	Prec@1 64.062 (63.079)	Prec@5 95.312 (94.946)
Epoch: [3][90/97], lr: 0.00800	Loss 1.4733 (1.3081)	Prec@1 68.750 (63.496)	Prec@5 95.312 (95.098)
Epoch [3] Training Results: Prec@1 63.695 Prec@5 95.107             Loss 1.31012
Epoch [3] Training Class Recall: [0.847,0.787,0.508,0.364,0.006,0.000,0.000,0.000,0.000,0.000]

