Epoch: [0][0/49], lr: 0.00200	Loss 3.0291 (3.0291)	Prec@1 7.031 (7.031)	Prec@5 26.562 (26.562)
Epoch: [0][10/49], lr: 0.00200	Loss 2.2733 (2.1321)	Prec@1 34.375 (35.156)	Prec@5 85.938 (82.457)
Epoch: [0][20/49], lr: 0.00200	Loss 1.5881 (1.9327)	Prec@1 47.656 (38.467)	Prec@5 93.750 (87.128)
Epoch: [0][30/49], lr: 0.00200	Loss 1.4904 (1.8141)	Prec@1 53.125 (41.028)	Prec@5 91.406 (88.936)
Epoch: [0][40/49], lr: 0.00200	Loss 1.3643 (1.7013)	Prec@1 50.000 (43.998)	Prec@5 95.312 (90.187)
Epoch [0] Training Results: Prec@1 45.768 Prec@5 90.440             Loss 1.64098
Epoch [0] Training Class Recall: [0.698,0.516,0.285,0.057,0.130,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/49], lr: 0.00400	Loss 1.4424 (1.4424)	Prec@1 49.219 (49.219)	Prec@5 94.531 (94.531)
Epoch: [1][10/49], lr: 0.00400	Loss 1.1520 (1.3301)	Prec@1 58.594 (53.835)	Prec@5 96.875 (93.750)
Epoch: [1][20/49], lr: 0.00400	Loss 1.3076 (1.3031)	Prec@1 59.375 (54.911)	Prec@5 96.875 (94.271)
Epoch: [1][30/49], lr: 0.00400	Loss 1.3924 (1.3168)	Prec@1 51.562 (53.881)	Prec@5 92.969 (94.254)
Epoch: [1][40/49], lr: 0.00400	Loss 1.5157 (1.3133)	Prec@1 49.219 (53.849)	Prec@5 93.750 (94.207)
Epoch [1] Training Results: Prec@1 54.441 Prec@5 94.132             Loss 1.30689
Epoch [1] Training Class Recall: [0.745,0.678,0.449,0.183,0.019,0.000,0.000,0.000,0.000,0.000]

Epoch: [2][0/49], lr: 0.00600	Loss 1.1258 (1.1258)	Prec@1 60.938 (60.938)	Prec@5 94.531 (94.531)
Epoch: [2][10/49], lr: 0.00600	Loss 1.3065 (1.2194)	Prec@1 47.656 (57.528)	Prec@5 95.312 (94.531)
Epoch: [2][20/49], lr: 0.00600	Loss 1.2470 (1.2755)	Prec@1 57.812 (56.548)	Prec@5 93.750 (94.606)
Epoch: [2][30/49], lr: 0.00600	Loss 1.3036 (1.2856)	Prec@1 56.250 (55.872)	Prec@5 95.312 (94.556)
Epoch: [2][40/49], lr: 0.00600	Loss 1.3113 (1.2586)	Prec@1 53.906 (56.726)	Prec@5 91.406 (94.607)
Epoch [2] Training Results: Prec@1 57.198 Prec@5 94.777             Loss 1.24879
Epoch [2] Training Class Recall: [0.755,0.714,0.452,0.332,0.031,0.000,0.000,0.000,0.000,0.000]

Epoch: [3][0/49], lr: 0.00800	Loss 1.0590 (1.0590)	Prec@1 62.500 (62.500)	Prec@5 96.094 (96.094)
Epoch: [3][10/49], lr: 0.00800	Loss 1.2172 (1.3031)	Prec@1 53.125 (54.972)	Prec@5 100.000 (94.602)
Epoch: [3][20/49], lr: 0.00800	Loss 1.0281 (1.2591)	Prec@1 67.188 (56.994)	Prec@5 96.094 (94.754)
Epoch: [3][30/49], lr: 0.00800	Loss 0.8629 (1.2068)	Prec@1 71.875 (58.493)	Prec@5 96.875 (94.884)
Epoch: [3][40/49], lr: 0.00800	Loss 1.0879 (1.1881)	Prec@1 65.625 (59.470)	Prec@5 95.312 (94.989)
Epoch [3] Training Results: Prec@1 60.503 Prec@5 95.035             Loss 1.15951
Epoch [3] Training Class Recall: [0.787,0.768,0.478,0.339,0.090,0.000,0.000,0.000,0.000,0.000]

Epoch: [4][0/49], lr: 0.01000	Loss 1.1133 (1.1133)	Prec@1 62.500 (62.500)	Prec@5 95.312 (95.312)
Epoch: [4][10/49], lr: 0.01000	Loss 1.0619 (1.1018)	Prec@1 68.750 (63.636)	Prec@5 98.438 (96.023)
Epoch: [4][20/49], lr: 0.01000	Loss 0.9753 (1.0920)	Prec@1 67.188 (64.509)	Prec@5 98.438 (95.871)
Epoch: [4][30/49], lr: 0.01000	Loss 0.9853 (1.0775)	Prec@1 71.875 (64.743)	Prec@5 93.750 (95.439)
Epoch: [4][40/49], lr: 0.01000	Loss 1.0068 (1.0750)	Prec@1 64.844 (64.177)	Prec@5 96.875 (95.579)
Epoch [4] Training Results: Prec@1 63.614 Prec@5 95.631             Loss 1.08167
Epoch [4] Training Class Recall: [0.822,0.796,0.489,0.469,0.019,0.000,0.000,0.000,0.000,0.000]

Epoch: [5][0/49], lr: 0.01000	Loss 1.0845 (1.0845)	Prec@1 58.594 (58.594)	Prec@5 98.438 (98.438)
Epoch: [5][10/49], lr: 0.01000	Loss 1.0975 (1.0919)	Prec@1 64.844 (62.287)	Prec@5 92.188 (95.455)
