Epoch: [0][0/32], lr: 0.00200	Loss 2.8662 (2.8662)	Prec@1 1.562 (1.562)	Prec@5 49.219 (49.219)
Epoch: [0][10/32], lr: 0.00200	Loss 1.6895 (1.8076)	Prec@1 43.750 (36.577)	Prec@5 96.094 (90.270)
Epoch: [0][20/32], lr: 0.00200	Loss 1.3635 (1.6657)	Prec@1 48.438 (44.606)	Prec@5 96.875 (92.336)
Epoch: [0][30/32], lr: 0.00200	Loss 0.9803 (1.5119)	Prec@1 67.188 (50.202)	Prec@5 99.219 (93.674)
Epoch [0] Training Results: Prec@1 50.325 Prec@5 93.725             Loss 1.50718
Epoch [0] Training Class Recall: [0.000,0.431,0.000,0.000,0.095,0.000,0.011,0.718,0.000,0.553]

Epoch: [1][0/32], lr: 0.00400	Loss 0.8496 (0.8496)	Prec@1 71.875 (71.875)	Prec@5 100.000 (100.000)
Epoch: [1][10/32], lr: 0.00400	Loss 1.2862 (1.1264)	Prec@1 67.969 (64.134)	Prec@5 96.875 (97.656)
Epoch: [1][20/32], lr: 0.00400	Loss 1.0168 (1.0427)	Prec@1 70.312 (68.155)	Prec@5 96.094 (97.284)
Epoch: [1][30/32], lr: 0.00400	Loss 1.1515 (0.9947)	Prec@1 74.219 (69.682)	Prec@5 95.312 (97.203)
Epoch [1] Training Results: Prec@1 69.775 Prec@5 97.225             Loss 0.99171
Epoch [1] Training Class Recall: [0.000,0.741,0.000,0.000,0.000,0.019,0.218,0.845,0.000,0.773]

Epoch: [2][0/32], lr: 0.00600	Loss 0.8182 (0.8182)	Prec@1 74.219 (74.219)	Prec@5 96.875 (96.875)
Epoch: [2][10/32], lr: 0.00600	Loss 1.0393 (0.9386)	Prec@1 67.969 (71.946)	Prec@5 96.875 (97.301)
Epoch: [2][20/32], lr: 0.00600	Loss 0.9135 (0.8939)	Prec@1 66.406 (72.061)	Prec@5 99.219 (97.210)
Epoch: [2][30/32], lr: 0.00600	Loss 0.6697 (0.8756)	Prec@1 79.688 (72.908)	Prec@5 98.438 (97.329)
Epoch [2] Training Results: Prec@1 72.900 Prec@5 97.350             Loss 0.87448
Epoch [2] Training Class Recall: [0.000,0.756,0.000,0.000,0.000,0.019,0.504,0.850,0.094,0.794]

Epoch: [3][0/32], lr: 0.00800	Loss 0.9918 (0.9918)	Prec@1 70.312 (70.312)	Prec@5 94.531 (94.531)
Epoch: [3][10/32], lr: 0.00800	Loss 0.6277 (0.9357)	Prec@1 80.469 (70.668)	Prec@5 99.219 (97.088)
Epoch: [3][20/32], lr: 0.00800	Loss 0.7036 (0.8609)	Prec@1 78.906 (73.847)	Prec@5 98.438 (97.656)
Epoch: [3][30/32], lr: 0.00800	Loss 0.8366 (0.8294)	Prec@1 78.906 (75.353)	Prec@5 95.312 (97.656)
Epoch [3] Training Results: Prec@1 75.325 Prec@5 97.675             Loss 0.82722
Epoch [3] Training Class Recall: [0.000,0.790,0.043,0.000,0.000,0.068,0.447,0.864,0.406,0.830]

Epoch: [4][0/32], lr: 0.01000	Loss 0.7817 (0.7817)	Prec@1 73.438 (73.438)	Prec@5 98.438 (98.438)
Epoch: [4][10/32], lr: 0.01000	Loss 0.5039 (0.7240)	Prec@1 85.938 (77.983)	Prec@5 98.438 (98.082)
Epoch: [4][20/32], lr: 0.01000	Loss 0.6016 (0.7055)	Prec@1 83.594 (79.427)	Prec@5 98.438 (98.140)
Epoch: [4][30/32], lr: 0.01000	Loss 0.5679 (0.6585)	Prec@1 85.938 (80.696)	Prec@5 97.656 (98.211)
Epoch [4] Training Results: Prec@1 80.725 Prec@5 98.225             Loss 0.65637
Epoch [4] Training Class Recall: [0.000,0.853,0.096,0.000,0.000,0.194,0.550,0.893,0.438,0.890]

Epoch: [5][0/32], lr: 0.01000	Loss 0.6260 (0.6260)	Prec@1 84.375 (84.375)	Prec@5 96.094 (96.094)
Epoch: [5][10/32], lr: 0.01000	Loss 0.4770 (0.5615)	Prec@1 86.719 (84.730)	Prec@5 97.656 (97.443)
Epoch: [5][20/32], lr: 0.01000	Loss 0.2705 (0.5424)	Prec@1 93.750 (85.045)	Prec@5 100.000 (98.028)
Epoch: [5][30/32], lr: 0.01000	Loss 0.6982 (0.5394)	Prec@1 81.250 (84.904)	Prec@5 97.656 (98.236)
Epoch [5] Training Results: Prec@1 84.900 Prec@5 98.250             Loss 0.54098
Epoch [5] Training Class Recall: [0.000,0.892,0.170,0.000,0.000,0.204,0.672,0.923,0.312,0.935]

Epoch: [6][0/32], lr: 0.01000	Loss 0.7299 (0.7299)	Prec@1 77.344 (77.344)	Prec@5 99.219 (99.219)
Epoch: [6][10/32], lr: 0.01000	Loss 0.6151 (0.6355)	Prec@1 82.031 (82.173)	Prec@5 97.656 (97.656)
Epoch: [6][20/32], lr: 0.01000	Loss 0.3146 (0.5217)	Prec@1 92.188 (85.640)	Prec@5 97.656 (98.289)
Epoch: [6][30/32], lr: 0.01000	Loss 0.5348 (0.5043)	Prec@1 84.375 (85.761)	Prec@5 97.656 (98.438)
Epoch [6] Training Results: Prec@1 85.825 Prec@5 98.450             Loss 0.50291
Epoch [6] Training Class Recall: [0.000,0.903,0.223,0.000,0.000,0.252,0.664,0.940,0.531,0.926]

Epoch: [7][0/32], lr: 0.01000	Loss 0.5376 (0.5376)	Prec@1 86.719 (86.719)	Prec@5 98.438 (98.438)
Epoch: [7][10/32], lr: 0.01000	Loss 0.3738 (0.4076)	Prec@1 91.406 (90.412)	Prec@5 98.438 (98.722)
Epoch: [7][20/32], lr: 0.01000	Loss 0.5750 (0.4220)	Prec@1 85.156 (89.769)	Prec@5 97.656 (98.661)
Epoch: [7][30/32], lr: 0.01000	Loss 0.4941 (0.4385)	Prec@1 89.062 (89.138)	Prec@5 96.875 (98.538)
Epoch [7] Training Results: Prec@1 89.075 Prec@5 98.550             Loss 0.43889
Epoch [7] Training Class Recall: [0.000,0.924,0.170,0.000,0.000,0.408,0.802,0.957,0.594,0.959]

Epoch: [8][0/32], lr: 0.01000	Loss 0.5300 (0.5300)	Prec@1 85.938 (85.938)	Prec@5 97.656 (97.656)
Epoch: [8][10/32], lr: 0.01000	Loss 0.1327 (0.3923)	Prec@1 96.094 (89.986)	Prec@5 100.000 (98.580)
Epoch: [8][20/32], lr: 0.01000	Loss 0.5035 (0.3864)	Prec@1 86.719 (90.141)	Prec@5 97.656 (98.810)
Epoch: [8][30/32], lr: 0.01000	Loss 0.4081 (0.3859)	Prec@1 89.844 (90.071)	Prec@5 98.438 (98.816)
