Epoch: [0][0/32], lr: 0.00200	Loss 2.8353 (2.8353)	Prec@1 10.156 (10.156)	Prec@5 50.000 (50.000)
Epoch: [0][10/32], lr: 0.00200	Loss 2.3699 (2.4916)	Prec@1 18.750 (12.145)	Prec@5 63.281 (54.688)
Epoch: [0][20/32], lr: 0.00200	Loss 2.3205 (2.4112)	Prec@1 13.281 (14.397)	Prec@5 67.969 (58.817)
Epoch: [0][30/32], lr: 0.00200	Loss 2.2234 (2.3613)	Prec@1 25.781 (15.625)	Prec@5 67.188 (61.215)
Epoch [0] Training Results: Prec@1 15.675 Prec@5 61.200             Loss 2.36117
Epoch [0] Training Class Recall: [0.182,0.192,0.080,0.043,0.269,0.165,0.161,0.119,0.208,0.137]

Epoch: [1][0/32], lr: 0.00400	Loss 2.1721 (2.1721)	Prec@1 17.969 (17.969)	Prec@5 67.188 (67.188)
Epoch: [1][10/32], lr: 0.00400	Loss 2.3143 (2.2614)	Prec@1 17.188 (20.384)	Prec@5 66.406 (65.199)
Epoch: [1][20/32], lr: 0.00400	Loss 2.1816 (2.1986)	Prec@1 26.562 (21.912)	Prec@5 75.781 (69.606)
Epoch: [1][30/32], lr: 0.00400	Loss 1.9944 (2.1806)	Prec@1 32.031 (23.085)	Prec@5 77.344 (70.262)
Epoch [1] Training Results: Prec@1 23.150 Prec@5 70.275             Loss 2.18023
Epoch [1] Training Class Recall: [0.220,0.393,0.093,0.091,0.245,0.168,0.227,0.223,0.325,0.310]

Epoch: [2][0/32], lr: 0.00600	Loss 2.3599 (2.3599)	Prec@1 26.562 (26.562)	Prec@5 67.188 (67.188)
Epoch: [2][10/32], lr: 0.00600	Loss 2.3038 (2.2359)	Prec@1 18.750 (22.869)	Prec@5 61.719 (71.165)
Epoch: [2][20/32], lr: 0.00600	Loss 2.2141 (2.1831)	Prec@1 21.875 (23.772)	Prec@5 66.406 (72.545)
Epoch: [2][30/32], lr: 0.00600	Loss 2.1651 (2.1650)	Prec@1 17.969 (24.824)	Prec@5 72.656 (72.883)
Epoch [2] Training Results: Prec@1 24.675 Prec@5 72.850             Loss 2.16577
Epoch [2] Training Class Recall: [0.257,0.426,0.068,0.197,0.231,0.228,0.195,0.280,0.278,0.293]

Epoch: [3][0/32], lr: 0.00800	Loss 2.0058 (2.0058)	Prec@1 27.344 (27.344)	Prec@5 71.094 (71.094)
Epoch: [3][10/32], lr: 0.00800	Loss 2.1034 (2.1924)	Prec@1 28.125 (26.136)	Prec@5 69.531 (71.094)
Epoch: [3][20/32], lr: 0.00800	Loss 2.2432 (2.1714)	Prec@1 27.344 (25.856)	Prec@5 71.094 (71.019)
Epoch: [3][30/32], lr: 0.00800	Loss 2.1554 (2.1318)	Prec@1 28.125 (26.562)	Prec@5 68.750 (72.707)
Epoch [3] Training Results: Prec@1 26.625 Prec@5 72.775             Loss 2.13001
Epoch [3] Training Class Recall: [0.228,0.450,0.068,0.059,0.224,0.343,0.217,0.352,0.296,0.398]

Epoch: [4][0/32], lr: 0.01000	Loss 2.0763 (2.0763)	Prec@1 28.125 (28.125)	Prec@5 74.219 (74.219)
Epoch: [4][10/32], lr: 0.01000	Loss 1.9322 (2.0210)	Prec@1 32.812 (30.327)	Prec@5 75.781 (75.142)
Epoch: [4][20/32], lr: 0.01000	Loss 1.9108 (1.9876)	Prec@1 32.031 (32.292)	Prec@5 82.031 (76.935)
Epoch: [4][30/32], lr: 0.01000	Loss 1.9704 (1.9935)	Prec@1 28.906 (31.956)	Prec@5 83.594 (77.218)
Epoch [4] Training Results: Prec@1 31.975 Prec@5 77.300             Loss 1.99300
Epoch [4] Training Class Recall: [0.324,0.527,0.085,0.139,0.240,0.291,0.320,0.392,0.395,0.461]

Epoch: [5][0/32], lr: 0.01000	Loss 1.9678 (1.9678)	Prec@1 28.125 (28.125)	Prec@5 78.125 (78.125)
Epoch: [5][10/32], lr: 0.01000	Loss 1.8114 (1.9208)	Prec@1 33.594 (32.244)	Prec@5 85.938 (79.474)
Epoch: [5][20/32], lr: 0.01000	Loss 1.9459 (1.9471)	Prec@1 30.469 (32.031)	Prec@5 83.594 (79.167)
Epoch: [5][30/32], lr: 0.01000	Loss 1.9502 (1.9557)	Prec@1 34.375 (32.082)	Prec@5 78.906 (78.931)
Epoch [5] Training Results: Prec@1 32.125 Prec@5 79.000             Loss 1.95424
Epoch [5] Training Class Recall: [0.255,0.543,0.113,0.200,0.193,0.288,0.327,0.432,0.431,0.410]

Epoch: [6][0/32], lr: 0.01000	Loss 1.8286 (1.8286)	Prec@1 38.281 (38.281)	Prec@5 77.344 (77.344)
Epoch: [6][10/32], lr: 0.01000	Loss 1.9701 (1.9118)	Prec@1 36.719 (35.014)	Prec@5 75.781 (79.048)
Epoch: [6][20/32], lr: 0.01000	Loss 1.8421 (1.9047)	Prec@1 40.625 (35.938)	Prec@5 83.594 (79.650)
Epoch: [6][30/32], lr: 0.01000	Loss 1.8760 (1.8977)	Prec@1 35.156 (36.114)	Prec@5 82.031 (80.116)
Epoch [6] Training Results: Prec@1 36.150 Prec@5 80.100             Loss 1.89894
Epoch [6] Training Class Recall: [0.292,0.511,0.103,0.283,0.288,0.298,0.320,0.499,0.475,0.529]

Epoch: [7][0/32], lr: 0.01000	Loss 1.8850 (1.8850)	Prec@1 37.500 (37.500)	Prec@5 78.906 (78.906)
Epoch: [7][10/32], lr: 0.01000	Loss 1.9016 (1.9015)	Prec@1 33.594 (36.009)	Prec@5 82.812 (80.185)
Epoch: [7][20/32], lr: 0.01000	Loss 1.9466 (1.8798)	Prec@1 34.375 (36.830)	Prec@5 82.031 (80.952)
Epoch: [7][30/32], lr: 0.01000	Loss 1.9245 (1.8836)	Prec@1 35.156 (36.845)	Prec@5 81.250 (80.418)
Epoch [7] Training Results: Prec@1 36.825 Prec@5 80.425             Loss 1.88433
Epoch [7] Training Class Recall: [0.351,0.602,0.095,0.163,0.269,0.404,0.373,0.439,0.449,0.510]

Epoch: [8][0/32], lr: 0.01000	Loss 1.7004 (1.7004)	Prec@1 42.188 (42.188)	Prec@5 92.188 (92.188)
Epoch: [8][10/32], lr: 0.01000	Loss 1.8010 (1.8569)	Prec@1 35.156 (36.577)	Prec@5 88.281 (82.315)
Epoch: [8][20/32], lr: 0.01000	Loss 1.9649 (1.8480)	Prec@1 34.375 (36.979)	Prec@5 75.781 (81.994)
Epoch: [8][30/32], lr: 0.01000	Loss 1.9028 (1.8658)	Prec@1 35.156 (36.870)	Prec@5 82.812 (81.578)
Epoch [8] Training Results: Prec@1 36.875 Prec@5 81.600             Loss 1.86567
Epoch [8] Training Class Recall: [0.322,0.543,0.126,0.125,0.293,0.383,0.388,0.504,0.462,0.512]

Epoch: [9][0/32], lr: 0.01000	Loss 1.8667 (1.8667)	Prec@1 42.188 (42.188)	Prec@5 83.594 (83.594)
Epoch: [9][10/32], lr: 0.01000	Loss 1.7210 (1.8662)	Prec@1 42.188 (37.216)	Prec@5 85.938 (83.026)
Epoch: [9][20/32], lr: 0.01000	Loss 1.9169 (1.8667)	Prec@1 35.938 (37.351)	Prec@5 78.125 (82.031)
Epoch: [9][30/32], lr: 0.01000	Loss 1.7254 (1.8503)	Prec@1 43.750 (38.609)	Prec@5 85.156 (81.981)
Epoch [9] Training Results: Prec@1 38.700 Prec@5 81.975             Loss 1.85007
Epoch [9] Training Class Recall: [0.367,0.539,0.136,0.176,0.317,0.386,0.417,0.501,0.475,0.532]

Epoch: [10][0/32], lr: 0.01000	Loss 1.8986 (1.8986)	Prec@1 33.594 (33.594)	Prec@5 83.594 (83.594)
Epoch: [10][10/32], lr: 0.01000	Loss 1.8076 (1.8037)	Prec@1 46.094 (41.335)	Prec@5 81.250 (83.381)
Epoch: [10][20/32], lr: 0.01000	Loss 1.7562 (1.8067)	Prec@1 46.094 (40.848)	Prec@5 85.156 (82.626)
Epoch: [10][30/32], lr: 0.01000	Loss 1.6120 (1.7930)	Prec@1 44.531 (41.230)	Prec@5 86.719 (83.115)
Epoch [10] Training Results: Prec@1 41.250 Prec@5 83.100             Loss 1.79411
Epoch [10] Training Class Recall: [0.370,0.574,0.118,0.192,0.305,0.424,0.466,0.519,0.522,0.610]

Epoch: [11][0/32], lr: 0.01000	Loss 1.7304 (1.7304)	Prec@1 42.188 (42.188)	Prec@5 85.156 (85.156)
Epoch: [11][10/32], lr: 0.01000	Loss 1.7758 (1.7331)	Prec@1 39.844 (42.330)	Prec@5 85.156 (84.375)
Epoch: [11][20/32], lr: 0.01000	Loss 1.8334 (1.7731)	Prec@1 35.938 (41.443)	Prec@5 83.594 (83.594)
Epoch: [11][30/32], lr: 0.01000	Loss 1.7754 (1.7669)	Prec@1 45.312 (41.633)	Prec@5 82.031 (83.644)
Epoch [11] Training Results: Prec@1 41.675 Prec@5 83.675             Loss 1.76731
Epoch [11] Training Class Recall: [0.375,0.604,0.133,0.211,0.319,0.388,0.490,0.511,0.532,0.576]

Epoch: [12][0/32], lr: 0.01000	Loss 1.8457 (1.8457)	Prec@1 38.281 (38.281)	Prec@5 79.688 (79.688)
Epoch: [12][10/32], lr: 0.01000	Loss 1.6720 (1.7355)	Prec@1 42.188 (43.537)	Prec@5 82.812 (83.523)
Epoch: [12][20/32], lr: 0.01000	Loss 1.6639 (1.7540)	Prec@1 48.438 (43.638)	Prec@5 84.375 (83.333)
Epoch: [12][30/32], lr: 0.01000	Loss 1.7548 (1.7459)	Prec@1 49.219 (44.204)	Prec@5 79.688 (83.392)
Epoch [12] Training Results: Prec@1 44.100 Prec@5 83.350             Loss 1.74751
Epoch [12] Training Class Recall: [0.389,0.600,0.209,0.189,0.336,0.436,0.461,0.558,0.577,0.629]

Epoch: [13][0/32], lr: 0.01000	Loss 1.6365 (1.6365)	Prec@1 51.562 (51.562)	Prec@5 79.688 (79.688)
