Epoch: [0][0/313], lr: 0.00200	Loss 2.6979 (2.6979)	Prec@1 15.625 (15.625)	Prec@5 53.906 (53.906)
Epoch: [0][10/313], lr: 0.00200	Loss 2.4445 (2.5121)	Prec@1 10.156 (10.369)	Prec@5 47.656 (49.503)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3759 (2.4508)	Prec@1 5.469 (11.421)	Prec@5 48.438 (50.818)
Epoch: [0][30/313], lr: 0.00200	Loss 2.3317 (2.4220)	Prec@1 10.156 (11.668)	Prec@5 56.250 (52.772)
Epoch: [0][40/313], lr: 0.00200	Loss 2.2998 (2.3986)	Prec@1 14.844 (12.557)	Prec@5 67.188 (54.783)
Epoch: [0][50/313], lr: 0.00200	Loss 2.2670 (2.3775)	Prec@1 21.875 (13.113)	Prec@5 64.844 (56.296)
Epoch: [0][60/313], lr: 0.00200	Loss 2.1630 (2.3592)	Prec@1 19.531 (13.858)	Prec@5 68.750 (57.134)
Epoch: [0][70/313], lr: 0.00200	Loss 2.1903 (2.3448)	Prec@1 20.312 (14.514)	Prec@5 60.938 (58.011)
Epoch: [0][80/313], lr: 0.00200	Loss 2.1657 (2.3365)	Prec@1 21.875 (15.017)	Prec@5 68.750 (58.816)
Epoch: [0][90/313], lr: 0.00200	Loss 2.1346 (2.3267)	Prec@1 24.219 (15.488)	Prec@5 66.406 (59.435)
Epoch: [0][100/313], lr: 0.00200	Loss 2.1952 (2.3169)	Prec@1 17.969 (15.702)	Prec@5 64.062 (59.932)
Epoch: [0][110/313], lr: 0.00200	Loss 2.2119 (2.3062)	Prec@1 19.531 (16.132)	Prec@5 68.750 (60.593)
Epoch: [0][120/313], lr: 0.00200	Loss 2.2140 (2.2993)	Prec@1 22.656 (16.355)	Prec@5 69.531 (61.112)
Epoch: [0][130/313], lr: 0.00200	Loss 2.2428 (2.2951)	Prec@1 23.438 (16.591)	Prec@5 60.156 (61.432)
Epoch: [0][140/313], lr: 0.00200	Loss 2.1359 (2.2877)	Prec@1 25.000 (16.800)	Prec@5 71.875 (61.874)
Epoch: [0][150/313], lr: 0.00200	Loss 2.1749 (2.2821)	Prec@1 17.969 (16.887)	Prec@5 67.969 (62.153)
Epoch: [0][160/313], lr: 0.00200	Loss 2.2508 (2.2779)	Prec@1 21.094 (16.998)	Prec@5 67.188 (62.442)
Epoch: [0][170/313], lr: 0.00200	Loss 2.2541 (2.2709)	Prec@1 12.500 (17.274)	Prec@5 68.750 (62.929)
Epoch: [0][180/313], lr: 0.00200	Loss 2.3770 (2.2665)	Prec@1 11.719 (17.520)	Prec@5 62.500 (63.260)
Epoch: [0][190/313], lr: 0.00200	Loss 2.2254 (2.2627)	Prec@1 19.531 (17.625)	Prec@5 71.094 (63.494)
Epoch: [0][200/313], lr: 0.00200	Loss 2.1672 (2.2577)	Prec@1 21.094 (17.786)	Prec@5 65.625 (63.771)
Epoch: [0][210/313], lr: 0.00200	Loss 2.2953 (2.2545)	Prec@1 17.188 (17.924)	Prec@5 60.938 (63.966)
Epoch: [0][220/313], lr: 0.00200	Loss 2.1547 (2.2513)	Prec@1 20.312 (18.022)	Prec@5 67.188 (64.087)
Epoch: [0][230/313], lr: 0.00200	Loss 2.0384 (2.2473)	Prec@1 27.344 (18.233)	Prec@5 72.656 (64.228)
Epoch: [0][240/313], lr: 0.00200	Loss 2.2110 (2.2431)	Prec@1 16.406 (18.458)	Prec@5 64.844 (64.432)
Epoch: [0][250/313], lr: 0.00200	Loss 2.1280 (2.2410)	Prec@1 21.875 (18.526)	Prec@5 74.219 (64.564)
Epoch: [0][260/313], lr: 0.00200	Loss 2.0847 (2.2380)	Prec@1 27.344 (18.657)	Prec@5 74.219 (64.778)
Epoch: [0][270/313], lr: 0.00200	Loss 2.0990 (2.2350)	Prec@1 25.781 (18.779)	Prec@5 69.531 (64.939)
Epoch: [0][280/313], lr: 0.00200	Loss 2.1994 (2.2312)	Prec@1 22.656 (18.995)	Prec@5 71.094 (65.180)
Epoch: [0][290/313], lr: 0.00200	Loss 2.0942 (2.2289)	Prec@1 25.000 (19.051)	Prec@5 75.781 (65.370)
Epoch: [0][300/313], lr: 0.00200	Loss 2.2318 (2.2254)	Prec@1 18.750 (19.238)	Prec@5 62.500 (65.568)
Epoch: [0][310/313], lr: 0.00200	Loss 2.1450 (2.2227)	Prec@1 21.875 (19.406)	Prec@5 73.438 (65.698)
Epoch [0] Training Results: Prec@1 19.422 Prec@5 65.705             Loss 2.22251
Epoch [0] Training Class Recall: [0.389,0.498,0.210,0.203,0.172,0.108,0.114,0.086,0.092,0.070]

Epoch: [1][0/313], lr: 0.00400	Loss 2.0624 (2.0624)	Prec@1 25.000 (25.000)	Prec@5 71.875 (71.875)
Epoch: [1][10/313], lr: 0.00400	Loss 2.1646 (2.2088)	Prec@1 23.438 (20.739)	Prec@5 67.969 (67.045)
Epoch: [1][20/313], lr: 0.00400	Loss 1.9769 (2.1842)	Prec@1 32.812 (21.912)	Prec@5 78.125 (68.564)
Epoch: [1][30/313], lr: 0.00400	Loss 2.2668 (2.1896)	Prec@1 17.188 (22.278)	Prec@5 64.844 (68.296)
Epoch: [1][40/313], lr: 0.00400	Loss 2.2679 (2.1879)	Prec@1 15.625 (21.875)	Prec@5 67.188 (68.559)
Epoch: [1][50/313], lr: 0.00400	Loss 2.1693 (2.1900)	Prec@1 21.875 (21.523)	Prec@5 67.188 (68.444)
Epoch: [1][60/313], lr: 0.00400	Loss 2.1709 (2.1916)	Prec@1 24.219 (21.363)	Prec@5 69.531 (68.404)
Epoch: [1][70/313], lr: 0.00400	Loss 2.0144 (2.1861)	Prec@1 30.469 (21.787)	Prec@5 77.344 (68.585)
Epoch: [1][80/313], lr: 0.00400	Loss 2.1599 (2.1847)	Prec@1 20.312 (21.827)	Prec@5 71.094 (68.576)
Epoch: [1][90/313], lr: 0.00400	Loss 2.2818 (2.1841)	Prec@1 20.312 (21.823)	Prec@5 62.500 (68.484)
Epoch: [1][100/313], lr: 0.00400	Loss 2.0201 (2.1816)	Prec@1 28.125 (21.867)	Prec@5 76.562 (68.495)
Epoch: [1][110/313], lr: 0.00400	Loss 2.0432 (2.1751)	Prec@1 28.906 (22.135)	Prec@5 70.312 (68.849)
Epoch: [1][120/313], lr: 0.00400	Loss 2.0864 (2.1702)	Prec@1 29.688 (22.346)	Prec@5 76.562 (69.150)
Epoch: [1][130/313], lr: 0.00400	Loss 2.1768 (2.1700)	Prec@1 17.969 (22.370)	Prec@5 69.531 (69.084)
Epoch: [1][140/313], lr: 0.00400	Loss 2.0368 (2.1683)	Prec@1 25.000 (22.396)	Prec@5 74.219 (69.182)
Epoch: [1][150/313], lr: 0.00400	Loss 2.0931 (2.1643)	Prec@1 20.312 (22.563)	Prec@5 78.125 (69.428)
Epoch: [1][160/313], lr: 0.00400	Loss 2.2319 (2.1627)	Prec@1 23.438 (22.608)	Prec@5 66.406 (69.492)
Epoch: [1][170/313], lr: 0.00400	Loss 2.0534 (2.1618)	Prec@1 26.562 (22.574)	Prec@5 75.000 (69.476)
Epoch: [1][180/313], lr: 0.00400	Loss 2.1161 (2.1622)	Prec@1 21.875 (22.574)	Prec@5 76.562 (69.514)
Epoch: [1][190/313], lr: 0.00400	Loss 2.1059 (2.1612)	Prec@1 22.656 (22.648)	Prec@5 77.344 (69.634)
Epoch: [1][200/313], lr: 0.00400	Loss 2.0483 (2.1584)	Prec@1 25.000 (22.753)	Prec@5 76.562 (69.842)
Epoch: [1][210/313], lr: 0.00400	Loss 2.0917 (2.1564)	Prec@1 28.125 (22.834)	Prec@5 74.219 (70.005)
Epoch: [1][220/313], lr: 0.00400	Loss 2.0515 (2.1524)	Prec@1 25.000 (23.038)	Prec@5 71.094 (70.153)
