Epoch: [0][0/313], lr: 0.00200	Loss 2.6979 (2.6979)	Prec@1 15.625 (15.625)	Prec@5 53.906 (53.906)
Epoch: [0][10/313], lr: 0.00200	Loss 2.4440 (2.5120)	Prec@1 9.375 (10.085)	Prec@5 46.094 (48.722)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3702 (2.4492)	Prec@1 5.469 (11.124)	Prec@5 48.438 (50.893)
Epoch: [0][30/313], lr: 0.00200	Loss 2.3169 (2.4188)	Prec@1 10.156 (11.694)	Prec@5 57.812 (52.823)
Epoch: [0][40/313], lr: 0.00200	Loss 2.2985 (2.3968)	Prec@1 16.406 (12.500)	Prec@5 69.531 (54.745)
Epoch: [0][50/313], lr: 0.00200	Loss 2.2875 (2.3769)	Prec@1 18.750 (13.251)	Prec@5 63.281 (55.928)
Epoch: [0][60/313], lr: 0.00200	Loss 2.1578 (2.3573)	Prec@1 17.188 (14.088)	Prec@5 68.750 (56.814)
Epoch: [0][70/313], lr: 0.00200	Loss 2.2176 (2.3436)	Prec@1 19.531 (14.833)	Prec@5 62.500 (57.857)
Epoch: [0][80/313], lr: 0.00200	Loss 2.1612 (2.3354)	Prec@1 21.094 (15.307)	Prec@5 71.875 (58.681)
Epoch: [0][90/313], lr: 0.00200	Loss 2.1652 (2.3271)	Prec@1 16.406 (15.668)	Prec@5 64.844 (59.306)
Epoch: [0][100/313], lr: 0.00200	Loss 2.2321 (2.3198)	Prec@1 15.625 (15.718)	Prec@5 57.812 (59.769)
Epoch: [0][110/313], lr: 0.00200	Loss 2.2354 (2.3093)	Prec@1 17.188 (16.118)	Prec@5 64.844 (60.339)
Epoch: [0][120/313], lr: 0.00200	Loss 2.2325 (2.3032)	Prec@1 21.875 (16.368)	Prec@5 69.531 (60.776)
Epoch: [0][130/313], lr: 0.00200	Loss 2.2698 (2.2990)	Prec@1 21.094 (16.591)	Prec@5 61.719 (61.099)
Epoch: [0][140/313], lr: 0.00200	Loss 2.1124 (2.2909)	Prec@1 25.781 (16.816)	Prec@5 71.094 (61.558)
Epoch: [0][150/313], lr: 0.00200	Loss 2.1511 (2.2855)	Prec@1 22.656 (16.924)	Prec@5 68.750 (61.833)
Epoch: [0][160/313], lr: 0.00200	Loss 2.2602 (2.2808)	Prec@1 16.406 (17.047)	Prec@5 65.625 (62.189)
Epoch: [0][170/313], lr: 0.00200	Loss 2.2655 (2.2746)	Prec@1 19.531 (17.357)	Prec@5 62.500 (62.605)
Epoch: [0][180/313], lr: 0.00200	Loss 2.3372 (2.2697)	Prec@1 14.844 (17.477)	Prec@5 62.500 (62.970)
Epoch: [0][190/313], lr: 0.00200	Loss 2.2300 (2.2665)	Prec@1 17.969 (17.539)	Prec@5 69.531 (63.212)
Epoch: [0][200/313], lr: 0.00200	Loss 2.2050 (2.2625)	Prec@1 24.219 (17.638)	Prec@5 66.406 (63.417)
Epoch: [0][210/313], lr: 0.00200	Loss 2.2564 (2.2595)	Prec@1 21.875 (17.761)	Prec@5 55.469 (63.581)
Epoch: [0][220/313], lr: 0.00200	Loss 2.1854 (2.2563)	Prec@1 21.875 (17.834)	Prec@5 65.625 (63.755)
Epoch: [0][230/313], lr: 0.00200	Loss 2.0405 (2.2520)	Prec@1 25.781 (18.026)	Prec@5 69.531 (63.873)
Epoch: [0][240/313], lr: 0.00200	Loss 2.2102 (2.2478)	Prec@1 15.625 (18.254)	Prec@5 65.625 (64.127)
Epoch: [0][250/313], lr: 0.00200	Loss 2.1572 (2.2462)	Prec@1 22.656 (18.327)	Prec@5 71.094 (64.212)
Epoch: [0][260/313], lr: 0.00200	Loss 2.1044 (2.2441)	Prec@1 20.312 (18.319)	Prec@5 76.562 (64.407)
Epoch: [0][270/313], lr: 0.00200	Loss 2.1366 (2.2415)	Prec@1 21.875 (18.433)	Prec@5 69.531 (64.527)
Epoch: [0][280/313], lr: 0.00200	Loss 2.2296 (2.2380)	Prec@1 22.656 (18.592)	Prec@5 70.312 (64.738)
Epoch: [0][290/313], lr: 0.00200	Loss 2.0960 (2.2357)	Prec@1 25.781 (18.696)	Prec@5 70.312 (64.860)
Epoch: [0][300/313], lr: 0.00200	Loss 2.2392 (2.2322)	Prec@1 13.281 (18.825)	Prec@5 64.844 (65.090)
Epoch: [0][310/313], lr: 0.00200	Loss 2.1091 (2.2300)	Prec@1 24.219 (18.926)	Prec@5 71.094 (65.218)
Epoch [0] Training Results: Prec@1 18.930 Prec@5 65.222             Loss 2.22977
Epoch [0] Training Class Recall: [0.382,0.490,0.205,0.206,0.161,0.106,0.090,0.094,0.085,0.074]

Epoch: [1][0/313], lr: 0.00400	Loss 2.0702 (2.0702)	Prec@1 22.656 (22.656)	Prec@5 71.875 (71.875)
Epoch: [1][10/313], lr: 0.00400	Loss 2.1653 (2.2117)	Prec@1 21.875 (20.312)	Prec@5 69.531 (66.832)
Epoch: [1][20/313], lr: 0.00400	Loss 2.0529 (2.1840)	Prec@1 31.250 (21.168)	Prec@5 74.219 (68.601)
Epoch: [1][30/313], lr: 0.00400	Loss 2.2177 (2.1923)	Prec@1 17.969 (21.421)	Prec@5 68.750 (68.322)
Epoch: [1][40/313], lr: 0.00400	Loss 2.2235 (2.1928)	Prec@1 17.969 (21.265)	Prec@5 64.844 (67.988)
Epoch: [1][50/313], lr: 0.00400	Loss 2.1693 (2.1959)	Prec@1 23.438 (20.910)	Prec@5 65.625 (68.045)
Epoch: [1][60/313], lr: 0.00400	Loss 2.1992 (2.1972)	Prec@1 24.219 (20.940)	Prec@5 67.188 (68.046)
Epoch: [1][70/313], lr: 0.00400	Loss 2.0280 (2.1925)	Prec@1 28.906 (21.072)	Prec@5 72.656 (68.079)
Epoch: [1][80/313], lr: 0.00400	Loss 2.1754 (2.1892)	Prec@1 21.094 (21.103)	Prec@5 71.875 (68.094)
Epoch: [1][90/313], lr: 0.00400	Loss 2.3159 (2.1887)	Prec@1 17.969 (21.188)	Prec@5 57.812 (68.115)
Epoch: [1][100/313], lr: 0.00400	Loss 2.0774 (2.1858)	Prec@1 26.562 (21.272)	Prec@5 70.312 (68.255)
Epoch: [1][110/313], lr: 0.00400	Loss 2.0573 (2.1792)	Prec@1 26.562 (21.502)	Prec@5 73.438 (68.630)
Epoch: [1][120/313], lr: 0.00400	Loss 2.0932 (2.1761)	Prec@1 23.438 (21.494)	Prec@5 74.219 (68.995)
Epoch: [1][130/313], lr: 0.00400	Loss 2.1587 (2.1755)	Prec@1 19.531 (21.452)	Prec@5 70.312 (69.090)
Epoch: [1][140/313], lr: 0.00400	Loss 2.0839 (2.1741)	Prec@1 21.094 (21.515)	Prec@5 72.656 (69.110)
Epoch: [1][150/313], lr: 0.00400	Loss 2.0653 (2.1710)	Prec@1 25.000 (21.694)	Prec@5 76.562 (69.174)
Epoch: [1][160/313], lr: 0.00400	Loss 2.1790 (2.1682)	Prec@1 24.219 (21.778)	Prec@5 60.938 (69.264)
Epoch: [1][170/313], lr: 0.00400	Loss 2.0655 (2.1670)	Prec@1 28.125 (21.875)	Prec@5 73.438 (69.262)
Epoch: [1][180/313], lr: 0.00400	Loss 2.1402 (2.1668)	Prec@1 21.094 (21.922)	Prec@5 70.312 (69.246)
