Epoch: [0][0/313], lr: 0.00200	Loss 2.6819 (2.6819)	Prec@1 15.625 (15.625)	Prec@5 53.906 (53.906)
Epoch: [0][10/313], lr: 0.00200	Loss 2.4351 (2.5020)	Prec@1 10.938 (10.938)	Prec@5 56.250 (51.420)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3584 (2.4516)	Prec@1 13.281 (11.235)	Prec@5 52.344 (51.823)
Epoch: [0][30/313], lr: 0.00200	Loss 2.2989 (2.4294)	Prec@1 14.844 (11.265)	Prec@5 58.594 (52.193)
Epoch: [0][40/313], lr: 0.00200	Loss 2.3164 (2.4149)	Prec@1 11.719 (11.528)	Prec@5 60.156 (53.144)
Epoch: [0][50/313], lr: 0.00200	Loss 2.3430 (2.4044)	Prec@1 12.500 (11.412)	Prec@5 54.688 (53.125)
Epoch: [0][60/313], lr: 0.00200	Loss 2.3408 (2.3916)	Prec@1 14.062 (11.757)	Prec@5 54.688 (53.586)
Epoch: [0][70/313], lr: 0.00200	Loss 2.3420 (2.3851)	Prec@1 14.844 (11.763)	Prec@5 55.469 (53.917)
Epoch: [0][80/313], lr: 0.00200	Loss 2.3473 (2.3832)	Prec@1 16.406 (11.921)	Prec@5 59.375 (54.109)
Epoch: [0][90/313], lr: 0.00200	Loss 2.2560 (2.3805)	Prec@1 14.062 (12.139)	Prec@5 60.938 (54.112)
Epoch: [0][100/313], lr: 0.00200	Loss 2.2646 (2.3713)	Prec@1 17.188 (12.461)	Prec@5 58.594 (54.626)
Epoch: [0][110/313], lr: 0.00200	Loss 2.2842 (2.3629)	Prec@1 16.406 (12.789)	Prec@5 60.938 (55.089)
Epoch: [0][120/313], lr: 0.00200	Loss 2.2911 (2.3580)	Prec@1 15.625 (12.952)	Prec@5 59.375 (55.178)
Epoch: [0][130/313], lr: 0.00200	Loss 2.3744 (2.3547)	Prec@1 14.844 (13.049)	Prec@5 46.875 (55.200)
Epoch: [0][140/313], lr: 0.00200	Loss 2.2561 (2.3501)	Prec@1 15.625 (13.209)	Prec@5 62.500 (55.375)
Epoch: [0][150/313], lr: 0.00200	Loss 2.3097 (2.3465)	Prec@1 11.719 (13.312)	Prec@5 51.562 (55.314)
Epoch: [0][160/313], lr: 0.00200	Loss 2.3360 (2.3424)	Prec@1 7.812 (13.456)	Prec@5 57.031 (55.571)
Epoch: [0][170/313], lr: 0.00200	Loss 2.2514 (2.3389)	Prec@1 17.969 (13.674)	Prec@5 60.938 (55.784)
Epoch: [0][180/313], lr: 0.00200	Loss 2.2821 (2.3349)	Prec@1 12.500 (13.726)	Prec@5 59.375 (55.982)
Epoch: [0][190/313], lr: 0.00200	Loss 2.2909 (2.3325)	Prec@1 18.750 (13.801)	Prec@5 59.375 (56.099)
Epoch: [0][200/313], lr: 0.00200	Loss 2.2657 (2.3300)	Prec@1 16.406 (13.864)	Prec@5 60.156 (56.324)
Epoch: [0][210/313], lr: 0.00200	Loss 2.3908 (2.3277)	Prec@1 17.188 (13.940)	Prec@5 49.219 (56.546)
Epoch: [0][220/313], lr: 0.00200	Loss 2.2099 (2.3250)	Prec@1 17.188 (14.034)	Prec@5 62.500 (56.685)
Epoch: [0][230/313], lr: 0.00200	Loss 2.2361 (2.3217)	Prec@1 22.656 (14.259)	Prec@5 61.719 (56.879)
Epoch: [0][240/313], lr: 0.00200	Loss 2.2879 (2.3188)	Prec@1 14.062 (14.400)	Prec@5 55.469 (57.002)
Epoch: [0][250/313], lr: 0.00200	Loss 2.2897 (2.3184)	Prec@1 18.750 (14.420)	Prec@5 53.125 (56.894)
Epoch: [0][260/313], lr: 0.00200	Loss 2.1700 (2.3167)	Prec@1 24.219 (14.473)	Prec@5 65.625 (56.903)
Epoch: [0][270/313], lr: 0.00200	Loss 2.1571 (2.3142)	Prec@1 24.219 (14.535)	Prec@5 71.094 (57.077)
Epoch: [0][280/313], lr: 0.00200	Loss 2.2415 (2.3122)	Prec@1 15.625 (14.649)	Prec@5 64.062 (57.234)
Epoch: [0][290/313], lr: 0.00200	Loss 2.2896 (2.3107)	Prec@1 14.844 (14.683)	Prec@5 61.719 (57.327)
