Epoch: [0][0/313], lr: 0.00200	Loss 2.6819 (2.6819)	Prec@1 15.625 (15.625)	Prec@5 53.906 (53.906)
Epoch: [0][10/313], lr: 0.00200	Loss 2.4385 (2.5023)	Prec@1 10.938 (10.866)	Prec@5 56.250 (51.136)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3578 (2.4518)	Prec@1 10.938 (11.124)	Prec@5 53.125 (51.488)
Epoch: [0][30/313], lr: 0.00200	Loss 2.3211 (2.4313)	Prec@1 13.281 (11.114)	Prec@5 58.594 (52.117)
Epoch: [0][40/313], lr: 0.00200	Loss 2.3090 (2.4161)	Prec@1 10.156 (11.547)	Prec@5 57.031 (52.954)
Epoch: [0][50/313], lr: 0.00200	Loss 2.3316 (2.4072)	Prec@1 14.844 (11.612)	Prec@5 56.250 (52.819)
Epoch: [0][60/313], lr: 0.00200	Loss 2.3461 (2.3949)	Prec@1 11.719 (11.872)	Prec@5 53.906 (53.215)
Epoch: [0][70/313], lr: 0.00200	Loss 2.3542 (2.3888)	Prec@1 10.156 (12.016)	Prec@5 47.656 (53.191)
Epoch: [0][80/313], lr: 0.00200	Loss 2.2979 (2.3875)	Prec@1 15.625 (12.288)	Prec@5 57.812 (53.549)
Epoch: [0][90/313], lr: 0.00200	Loss 2.2804 (2.3845)	Prec@1 12.500 (12.363)	Prec@5 59.375 (53.692)
Epoch: [0][100/313], lr: 0.00200	Loss 2.3027 (2.3764)	Prec@1 13.281 (12.508)	Prec@5 57.031 (54.239)
Epoch: [0][110/313], lr: 0.00200	Loss 2.3001 (2.3672)	Prec@1 10.938 (12.824)	Prec@5 64.844 (54.835)
Epoch: [0][120/313], lr: 0.00200	Loss 2.3407 (2.3633)	Prec@1 14.844 (12.997)	Prec@5 60.938 (55.068)
Epoch: [0][130/313], lr: 0.00200	Loss 2.4166 (2.3615)	Prec@1 15.625 (13.144)	Prec@5 49.219 (55.177)
Epoch: [0][140/313], lr: 0.00200	Loss 2.2793 (2.3573)	Prec@1 13.281 (13.270)	Prec@5 56.250 (55.258)
Epoch: [0][150/313], lr: 0.00200	Loss 2.3284 (2.3544)	Prec@1 11.719 (13.302)	Prec@5 60.156 (55.345)
Epoch: [0][160/313], lr: 0.00200	Loss 2.3641 (2.3512)	Prec@1 10.156 (13.344)	Prec@5 53.906 (55.483)
Epoch: [0][170/313], lr: 0.00200	Loss 2.2566 (2.3472)	Prec@1 14.062 (13.514)	Prec@5 60.156 (55.711)
Epoch: [0][180/313], lr: 0.00200	Loss 2.3415 (2.3429)	Prec@1 10.156 (13.644)	Prec@5 58.594 (55.978)
Epoch: [0][190/313], lr: 0.00200	Loss 2.2992 (2.3404)	Prec@1 15.625 (13.674)	Prec@5 60.156 (56.090)
Epoch: [0][200/313], lr: 0.00200	Loss 2.2596 (2.3376)	Prec@1 16.406 (13.736)	Prec@5 60.156 (56.203)
Epoch: [0][210/313], lr: 0.00200	Loss 2.3738 (2.3347)	Prec@1 16.406 (13.789)	Prec@5 53.906 (56.343)
Epoch: [0][220/313], lr: 0.00200	Loss 2.2353 (2.3317)	Prec@1 11.719 (13.896)	Prec@5 65.625 (56.550)
Epoch: [0][230/313], lr: 0.00200	Loss 2.2065 (2.3285)	Prec@1 23.438 (14.052)	Prec@5 57.031 (56.727)
Epoch: [0][240/313], lr: 0.00200	Loss 2.2937 (2.3259)	Prec@1 17.188 (14.199)	Prec@5 58.594 (56.811)
Epoch: [0][250/313], lr: 0.00200	Loss 2.2586 (2.3257)	Prec@1 17.188 (14.227)	Prec@5 62.500 (56.760)
Epoch: [0][260/313], lr: 0.00200	Loss 2.2065 (2.3248)	Prec@1 19.531 (14.173)	Prec@5 67.969 (56.729)
Epoch: [0][270/313], lr: 0.00200	Loss 2.1477 (2.3223)	Prec@1 23.438 (14.267)	Prec@5 65.625 (56.853)
Epoch: [0][280/313], lr: 0.00200	Loss 2.2305 (2.3205)	Prec@1 16.406 (14.374)	Prec@5 59.375 (56.959)
Epoch: [0][290/313], lr: 0.00200	Loss 2.3191 (2.3192)	Prec@1 10.938 (14.379)	Prec@5 60.156 (57.066)
Epoch: [0][300/313], lr: 0.00200	Loss 2.3161 (2.3178)	Prec@1 10.156 (14.465)	Prec@5 53.906 (57.112)
Epoch: [0][310/313], lr: 0.00200	Loss 2.3619 (2.3163)	Prec@1 11.719 (14.495)	Prec@5 53.125 (57.237)
Epoch [0] Training Results: Prec@1 14.500 Prec@5 57.260             Loss 2.31642
Epoch [0] Training Class Recall: [0.313,0.318,0.183,0.145,0.137,0.087,0.062,0.078,0.067,0.059]

Epoch: [1][0/313], lr: 0.00400	Loss 2.2119 (2.2119)	Prec@1 14.062 (14.062)	Prec@5 66.406 (66.406)
Epoch: [1][10/313], lr: 0.00400	Loss 2.2326 (2.3476)	Prec@1 18.750 (13.636)	Prec@5 60.938 (57.528)
Epoch: [1][20/313], lr: 0.00400	Loss 2.3048 (2.3176)	Prec@1 17.969 (14.174)	Prec@5 60.938 (57.850)
Epoch: [1][30/313], lr: 0.00400	Loss 2.3109 (2.3046)	Prec@1 14.844 (15.348)	Prec@5 59.375 (58.619)
Epoch: [1][40/313], lr: 0.00400	Loss 2.2323 (2.3052)	Prec@1 17.969 (15.549)	Prec@5 62.500 (58.155)
Epoch: [1][50/313], lr: 0.00400	Loss 2.2728 (2.2993)	Prec@1 14.062 (15.365)	Prec@5 63.281 (58.532)
Epoch: [1][60/313], lr: 0.00400	Loss 2.1906 (2.2960)	Prec@1 20.312 (15.497)	Prec@5 64.062 (58.504)
Epoch: [1][70/313], lr: 0.00400	Loss 2.2793 (2.2942)	Prec@1 14.844 (15.647)	Prec@5 58.594 (58.253)
Epoch: [1][80/313], lr: 0.00400	Loss 2.2505 (2.2919)	Prec@1 21.094 (15.557)	Prec@5 60.156 (58.401)
Epoch: [1][90/313], lr: 0.00400	Loss 2.2124 (2.2890)	Prec@1 17.969 (15.462)	Prec@5 62.500 (58.611)
Epoch: [1][100/313], lr: 0.00400	Loss 2.2565 (2.2865)	Prec@1 23.438 (15.679)	Prec@5 62.500 (58.934)
Epoch: [1][110/313], lr: 0.00400	Loss 2.2456 (2.2825)	Prec@1 16.406 (16.019)	Prec@5 59.375 (59.227)
