Epoch: [0][0/313], lr: 0.00200	Loss 2.7117 (2.7117)	Prec@1 15.625 (15.625)	Prec@5 57.812 (57.812)
Epoch: [0][10/313], lr: 0.00200	Loss 2.3488 (2.5071)	Prec@1 14.062 (10.724)	Prec@5 55.469 (50.142)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3255 (2.4384)	Prec@1 13.281 (12.574)	Prec@5 62.500 (53.683)
Epoch: [0][30/313], lr: 0.00200	Loss 2.2486 (2.3844)	Prec@1 13.281 (14.163)	Prec@5 68.750 (57.560)
Epoch: [0][40/313], lr: 0.00200	Loss 2.1646 (2.3404)	Prec@1 19.531 (15.606)	Prec@5 73.438 (60.595)
Epoch: [0][50/313], lr: 0.00200	Loss 2.1597 (2.3061)	Prec@1 16.406 (16.406)	Prec@5 72.656 (62.500)
Epoch: [0][60/313], lr: 0.00200	Loss 2.2312 (2.2769)	Prec@1 21.094 (17.674)	Prec@5 64.062 (64.101)
Epoch: [0][70/313], lr: 0.00200	Loss 2.2471 (2.2669)	Prec@1 18.750 (17.815)	Prec@5 67.969 (64.976)
Epoch: [0][80/313], lr: 0.00200	Loss 2.0666 (2.2565)	Prec@1 25.000 (18.326)	Prec@5 75.781 (65.635)
Epoch: [0][90/313], lr: 0.00200	Loss 2.0875 (2.2482)	Prec@1 21.875 (18.784)	Prec@5 75.781 (66.260)
Epoch: [0][100/313], lr: 0.00200	Loss 2.0524 (2.2319)	Prec@1 25.000 (19.392)	Prec@5 79.688 (67.118)
Epoch: [0][110/313], lr: 0.00200	Loss 1.9950 (2.2170)	Prec@1 28.906 (19.932)	Prec@5 78.906 (67.934)
Epoch: [0][120/313], lr: 0.00200	Loss 2.1865 (2.2096)	Prec@1 23.438 (20.183)	Prec@5 70.312 (68.388)
Epoch: [0][130/313], lr: 0.00200	Loss 2.1501 (2.2026)	Prec@1 23.438 (20.551)	Prec@5 72.656 (68.708)
Epoch: [0][140/313], lr: 0.00200	Loss 2.0313 (2.1950)	Prec@1 27.344 (20.878)	Prec@5 76.562 (69.132)
Epoch: [0][150/313], lr: 0.00200	Loss 2.1219 (2.1888)	Prec@1 22.656 (21.135)	Prec@5 76.562 (69.536)
Epoch: [0][160/313], lr: 0.00200	Loss 2.0496 (2.1782)	Prec@1 15.625 (21.560)	Prec@5 81.250 (70.104)
Epoch: [0][170/313], lr: 0.00200	Loss 2.1041 (2.1704)	Prec@1 29.688 (21.875)	Prec@5 73.438 (70.477)
Epoch: [0][180/313], lr: 0.00200	Loss 2.0426 (2.1641)	Prec@1 24.219 (22.091)	Prec@5 76.562 (70.766)
Epoch: [0][190/313], lr: 0.00200	Loss 1.9669 (2.1557)	Prec@1 29.688 (22.382)	Prec@5 78.906 (71.171)
Epoch: [0][200/313], lr: 0.00200	Loss 2.0225 (2.1501)	Prec@1 28.125 (22.645)	Prec@5 74.219 (71.455)
Epoch: [0][210/313], lr: 0.00200	Loss 2.0504 (2.1444)	Prec@1 25.000 (22.941)	Prec@5 77.344 (71.708)
Epoch: [0][220/313], lr: 0.00200	Loss 1.9482 (2.1389)	Prec@1 26.562 (23.232)	Prec@5 78.125 (71.935)
Epoch: [0][230/313], lr: 0.00200	Loss 2.0856 (2.1344)	Prec@1 25.781 (23.478)	Prec@5 75.781 (72.142)
Epoch: [0][240/313], lr: 0.00200	Loss 1.9217 (2.1291)	Prec@1 28.906 (23.716)	Prec@5 80.469 (72.316)
Epoch: [0][250/313], lr: 0.00200	Loss 1.9457 (2.1238)	Prec@1 36.719 (23.948)	Prec@5 77.344 (72.557)
Epoch: [0][260/313], lr: 0.00200	Loss 1.9836 (2.1188)	Prec@1 28.125 (24.195)	Prec@5 75.781 (72.731)
Epoch: [0][270/313], lr: 0.00200	Loss 1.9469 (2.1133)	Prec@1 28.906 (24.464)	Prec@5 83.594 (72.947)
Epoch: [0][280/313], lr: 0.00200	Loss 1.9944 (2.1085)	Prec@1 32.812 (24.714)	Prec@5 75.000 (73.151)
Epoch: [0][290/313], lr: 0.00200	Loss 1.9808 (2.1045)	Prec@1 36.719 (24.930)	Prec@5 79.688 (73.276)
Epoch: [0][300/313], lr: 0.00200	Loss 2.0158 (2.1024)	Prec@1 28.906 (25.073)	Prec@5 78.906 (73.373)
Epoch: [0][310/313], lr: 0.00200	Loss 2.0810 (2.0977)	Prec@1 31.250 (25.379)	Prec@5 82.031 (73.556)
Epoch [0] Training Results: Prec@1 25.442 Prec@5 73.610             Loss 2.09631
Epoch [0] Training Class Recall: [0.259,0.341,0.106,0.123,0.224,0.221,0.305,0.303,0.326,0.333]

Epoch: [1][0/313], lr: 0.00400	Loss 1.9829 (1.9829)	Prec@1 32.031 (32.031)	Prec@5 76.562 (76.562)
Epoch: [1][10/313], lr: 0.00400	Loss 2.0435 (2.0613)	Prec@1 28.125 (27.841)	Prec@5 74.219 (75.497)
Epoch: [1][20/313], lr: 0.00400	Loss 2.1389 (2.0556)	Prec@1 28.906 (28.423)	Prec@5 72.656 (75.298)
Epoch: [1][30/313], lr: 0.00400	Loss 2.1293 (2.0418)	Prec@1 28.906 (28.931)	Prec@5 69.531 (75.806)
Epoch: [1][40/313], lr: 0.00400	Loss 2.2037 (2.0484)	Prec@1 25.781 (28.963)	Prec@5 65.625 (75.572)
Epoch: [1][50/313], lr: 0.00400	Loss 2.1472 (2.0468)	Prec@1 23.438 (28.814)	Prec@5 75.781 (75.904)
Epoch: [1][60/313], lr: 0.00400	Loss 1.9715 (2.0360)	Prec@1 27.344 (29.367)	Prec@5 80.469 (76.383)
Epoch: [1][70/313], lr: 0.00400	Loss 2.0323 (2.0242)	Prec@1 35.156 (29.996)	Prec@5 74.219 (76.871)
Epoch: [1][80/313], lr: 0.00400	Loss 1.8812 (2.0094)	Prec@1 35.156 (30.941)	Prec@5 81.250 (77.141)
Epoch: [1][90/313], lr: 0.00400	Loss 2.0652 (2.0058)	Prec@1 28.906 (31.216)	Prec@5 72.656 (77.335)
