Epoch: [0][0/313], lr: 0.00200	Loss 2.7117 (2.7117)	Prec@1 15.625 (15.625)	Prec@5 57.812 (57.812)
Epoch: [0][10/313], lr: 0.00200	Loss 2.3465 (2.5065)	Prec@1 14.844 (10.938)	Prec@5 54.688 (50.071)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3260 (2.4384)	Prec@1 10.938 (12.612)	Prec@5 61.719 (53.720)
Epoch: [0][30/313], lr: 0.00200	Loss 2.2367 (2.3828)	Prec@1 13.281 (13.936)	Prec@5 69.531 (57.636)
Epoch: [0][40/313], lr: 0.00200	Loss 2.1462 (2.3378)	Prec@1 20.312 (15.377)	Prec@5 76.562 (60.328)
Epoch: [0][50/313], lr: 0.00200	Loss 2.1519 (2.3031)	Prec@1 26.562 (16.284)	Prec@5 70.312 (62.316)
Epoch: [0][60/313], lr: 0.00200	Loss 2.1673 (2.2737)	Prec@1 19.531 (17.533)	Prec@5 71.875 (63.960)
Epoch: [0][70/313], lr: 0.00200	Loss 2.2964 (2.2621)	Prec@1 15.625 (17.837)	Prec@5 64.844 (64.690)
Epoch: [0][80/313], lr: 0.00200	Loss 2.0829 (2.2509)	Prec@1 24.219 (18.432)	Prec@5 78.906 (65.548)
Epoch: [0][90/313], lr: 0.00200	Loss 2.1062 (2.2419)	Prec@1 21.094 (18.750)	Prec@5 77.344 (66.132)
Epoch: [0][100/313], lr: 0.00200	Loss 2.0380 (2.2263)	Prec@1 25.000 (19.423)	Prec@5 79.688 (67.002)
Epoch: [0][110/313], lr: 0.00200	Loss 2.0163 (2.2112)	Prec@1 28.125 (20.073)	Prec@5 78.125 (67.849)
Epoch: [0][120/313], lr: 0.00200	Loss 2.1613 (2.2045)	Prec@1 24.219 (20.435)	Prec@5 71.875 (68.253)
Epoch: [0][130/313], lr: 0.00200	Loss 2.1854 (2.1985)	Prec@1 19.531 (20.712)	Prec@5 72.656 (68.541)
Epoch: [0][140/313], lr: 0.00200	Loss 1.9965 (2.1920)	Prec@1 28.125 (20.977)	Prec@5 80.469 (68.900)
Epoch: [0][150/313], lr: 0.00200	Loss 2.1626 (2.1863)	Prec@1 22.656 (21.202)	Prec@5 74.219 (69.371)
Epoch: [0][160/313], lr: 0.00200	Loss 2.0860 (2.1763)	Prec@1 15.625 (21.598)	Prec@5 78.125 (69.934)
Epoch: [0][170/313], lr: 0.00200	Loss 2.0758 (2.1698)	Prec@1 28.906 (21.907)	Prec@5 74.219 (70.331)
Epoch: [0][180/313], lr: 0.00200	Loss 2.0779 (2.1637)	Prec@1 19.531 (22.134)	Prec@5 77.344 (70.684)
Epoch: [0][190/313], lr: 0.00200	Loss 1.9531 (2.1548)	Prec@1 30.469 (22.435)	Prec@5 82.812 (71.163)
Epoch: [0][200/313], lr: 0.00200	Loss 2.0595 (2.1497)	Prec@1 27.344 (22.660)	Prec@5 75.000 (71.436)
Epoch: [0][210/313], lr: 0.00200	Loss 2.0220 (2.1451)	Prec@1 29.688 (22.897)	Prec@5 78.906 (71.671)
Epoch: [0][220/313], lr: 0.00200	Loss 1.9573 (2.1396)	Prec@1 25.781 (23.197)	Prec@5 80.469 (71.896)
Epoch: [0][230/313], lr: 0.00200	Loss 2.0961 (2.1362)	Prec@1 25.000 (23.343)	Prec@5 75.781 (72.068)
Epoch: [0][240/313], lr: 0.00200	Loss 1.8724 (2.1301)	Prec@1 28.125 (23.561)	Prec@5 79.688 (72.296)
Epoch: [0][250/313], lr: 0.00200	Loss 1.9103 (2.1246)	Prec@1 32.812 (23.774)	Prec@5 83.594 (72.529)
Epoch: [0][260/313], lr: 0.00200	Loss 1.9797 (2.1188)	Prec@1 32.812 (24.102)	Prec@5 78.125 (72.695)
