Epoch: [0][0/313], lr: 0.00200	Loss 2.6963 (2.6963)	Prec@1 15.625 (15.625)	Prec@5 53.125 (53.125)
Epoch: [0][10/313], lr: 0.00200	Loss 2.4062 (2.5064)	Prec@1 13.281 (10.298)	Prec@5 47.656 (49.787)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3640 (2.4412)	Prec@1 9.375 (11.458)	Prec@5 47.656 (51.488)
Epoch: [0][30/313], lr: 0.00200	Loss 2.2515 (2.4073)	Prec@1 13.281 (11.971)	Prec@5 64.844 (53.931)
Epoch: [0][40/313], lr: 0.00200	Loss 2.3612 (2.3841)	Prec@1 12.500 (12.748)	Prec@5 57.031 (55.736)
Epoch: [0][50/313], lr: 0.00200	Loss 2.2568 (2.3690)	Prec@1 17.969 (13.006)	Prec@5 64.062 (56.526)
Epoch: [0][60/313], lr: 0.00200	Loss 2.1445 (2.3482)	Prec@1 19.531 (13.883)	Prec@5 71.094 (57.620)
Epoch: [0][70/313], lr: 0.00200	Loss 2.2238 (2.3326)	Prec@1 23.438 (14.646)	Prec@5 63.281 (58.682)
Epoch: [0][80/313], lr: 0.00200	Loss 2.2184 (2.3270)	Prec@1 17.188 (15.133)	Prec@5 71.875 (59.578)
Epoch: [0][90/313], lr: 0.00200	Loss 2.0972 (2.3185)	Prec@1 22.656 (15.616)	Prec@5 75.781 (60.122)
Epoch: [0][100/313], lr: 0.00200	Loss 2.2240 (2.3097)	Prec@1 17.969 (16.043)	Prec@5 64.062 (60.597)
Epoch: [0][110/313], lr: 0.00200	Loss 2.1349 (2.2991)	Prec@1 23.438 (16.399)	Prec@5 74.219 (61.332)
Epoch: [0][120/313], lr: 0.00200	Loss 2.2289 (2.2941)	Prec@1 25.000 (16.516)	Prec@5 64.844 (61.699)
Epoch: [0][130/313], lr: 0.00200	Loss 2.2470 (2.2881)	Prec@1 21.875 (16.871)	Prec@5 60.938 (62.041)
Epoch: [0][140/313], lr: 0.00200	Loss 2.1969 (2.2832)	Prec@1 21.875 (17.071)	Prec@5 62.500 (62.256)
Epoch: [0][150/313], lr: 0.00200	Loss 2.2614 (2.2789)	Prec@1 14.844 (17.219)	Prec@5 68.750 (62.428)
Epoch: [0][160/313], lr: 0.00200	Loss 2.1932 (2.2741)	Prec@1 19.531 (17.382)	Prec@5 67.188 (62.777)
Epoch: [0][170/313], lr: 0.00200	Loss 2.1819 (2.2699)	Prec@1 22.656 (17.526)	Prec@5 73.438 (63.130)
Epoch: [0][180/313], lr: 0.00200	Loss 2.3026 (2.2654)	Prec@1 14.062 (17.632)	Prec@5 65.625 (63.519)
Epoch: [0][190/313], lr: 0.00200	Loss 2.1772 (2.2603)	Prec@1 24.219 (17.801)	Prec@5 74.219 (63.842)
Epoch: [0][200/313], lr: 0.00200	Loss 2.1428 (2.2558)	Prec@1 15.625 (17.914)	Prec@5 71.875 (64.156)
Epoch: [0][210/313], lr: 0.00200	Loss 2.3052 (2.2503)	Prec@1 17.188 (18.128)	Prec@5 65.625 (64.481)
Epoch: [0][220/313], lr: 0.00200	Loss 2.2526 (2.2467)	Prec@1 16.406 (18.241)	Prec@5 63.281 (64.748)
Epoch: [0][230/313], lr: 0.00200	Loss 2.0946 (2.2438)	Prec@1 23.438 (18.358)	Prec@5 71.094 (64.861)
Epoch: [0][240/313], lr: 0.00200	Loss 2.1964 (2.2423)	Prec@1 20.312 (18.474)	Prec@5 63.281 (64.944)
Epoch: [0][250/313], lr: 0.00200	Loss 2.2702 (2.2417)	Prec@1 21.875 (18.507)	Prec@5 64.844 (64.962)
Epoch: [0][260/313], lr: 0.00200	Loss 2.1360 (2.2390)	Prec@1 17.969 (18.564)	Prec@5 71.875 (65.116)
Epoch: [0][270/313], lr: 0.00200	Loss 2.2975 (2.2382)	Prec@1 14.062 (18.635)	Prec@5 63.281 (65.184)
Epoch: [0][280/313], lr: 0.00200	Loss 2.1322 (2.2350)	Prec@1 25.000 (18.797)	Prec@5 74.219 (65.386)
Epoch: [0][290/313], lr: 0.00200	Loss 2.1014 (2.2327)	Prec@1 19.531 (18.916)	Prec@5 78.125 (65.550)
Epoch: [0][300/313], lr: 0.00200	Loss 2.0280 (2.2294)	Prec@1 28.906 (19.041)	Prec@5 74.219 (65.737)
Epoch: [0][310/313], lr: 0.00200	Loss 2.2652 (2.2268)	Prec@1 21.094 (19.097)	Prec@5 61.719 (65.859)
Epoch [0] Training Results: Prec@1 19.100 Prec@5 65.853             Loss 2.22704
Epoch [0] Training Class Recall: [0.386,0.498,0.209,0.205,0.156,0.104,0.106,0.089,0.080,0.076]

Epoch: [1][0/313], lr: 0.00400	Loss 2.1041 (2.1041)	Prec@1 18.750 (18.750)	Prec@5 73.438 (73.438)
Epoch: [1][10/313], lr: 0.00400	Loss 2.1066 (2.1783)	Prec@1 24.219 (20.597)	Prec@5 70.312 (68.679)
Epoch: [1][20/313], lr: 0.00400	Loss 2.1386 (2.1658)	Prec@1 28.906 (22.061)	Prec@5 70.312 (70.164)
