Epoch: [0][0/313], lr: 0.00200	Loss 2.6963 (2.6963)	Prec@1 15.625 (15.625)	Prec@5 53.125 (53.125)
Epoch: [0][10/313], lr: 0.00200	Loss 2.4075 (2.5066)	Prec@1 14.062 (10.511)	Prec@5 48.438 (50.142)
Epoch: [0][20/313], lr: 0.00200	Loss 2.3758 (2.4421)	Prec@1 10.938 (11.533)	Prec@5 46.094 (51.897)
Epoch: [0][30/313], lr: 0.00200	Loss 2.2477 (2.4063)	Prec@1 12.500 (12.198)	Prec@5 67.188 (54.662)
Epoch: [0][40/313], lr: 0.00200	Loss 2.3525 (2.3826)	Prec@1 10.938 (12.805)	Prec@5 62.500 (56.021)
Epoch: [0][50/313], lr: 0.00200	Loss 2.2661 (2.3644)	Prec@1 17.188 (13.097)	Prec@5 63.281 (56.633)
Epoch: [0][60/313], lr: 0.00200	Loss 2.1598 (2.3455)	Prec@1 17.969 (13.806)	Prec@5 75.000 (57.941)
Epoch: [0][70/313], lr: 0.00200	Loss 2.2275 (2.3302)	Prec@1 25.000 (14.437)	Prec@5 61.719 (58.858)
Epoch: [0][80/313], lr: 0.00200	Loss 2.2244 (2.3244)	Prec@1 16.406 (14.911)	Prec@5 71.875 (59.684)
Epoch: [0][90/313], lr: 0.00200	Loss 2.1062 (2.3162)	Prec@1 21.875 (15.462)	Prec@5 71.875 (60.259)
Epoch: [0][100/313], lr: 0.00200	Loss 2.2107 (2.3082)	Prec@1 17.969 (15.873)	Prec@5 64.844 (60.651)
Epoch: [0][110/313], lr: 0.00200	Loss 2.1546 (2.2989)	Prec@1 21.094 (16.301)	Prec@5 67.969 (61.233)
Epoch: [0][120/313], lr: 0.00200	Loss 2.2223 (2.2953)	Prec@1 19.531 (16.290)	Prec@5 63.281 (61.396)
Epoch: [0][130/313], lr: 0.00200	Loss 2.2892 (2.2892)	Prec@1 20.312 (16.633)	Prec@5 61.719 (61.820)
Epoch: [0][140/313], lr: 0.00200	Loss 2.2373 (2.2845)	Prec@1 15.625 (16.755)	Prec@5 59.375 (62.062)
Epoch: [0][150/313], lr: 0.00200	Loss 2.2892 (2.2804)	Prec@1 17.969 (16.955)	Prec@5 67.969 (62.303)
Epoch: [0][160/313], lr: 0.00200	Loss 2.1766 (2.2756)	Prec@1 20.312 (17.056)	Prec@5 70.312 (62.680)
Epoch: [0][170/313], lr: 0.00200	Loss 2.1923 (2.2720)	Prec@1 16.406 (17.156)	Prec@5 71.094 (62.989)
Epoch: [0][180/313], lr: 0.00200	Loss 2.3538 (2.2684)	Prec@1 11.719 (17.257)	Prec@5 70.312 (63.311)
Epoch: [0][190/313], lr: 0.00200	Loss 2.1574 (2.2630)	Prec@1 19.531 (17.376)	Prec@5 71.094 (63.588)
Epoch: [0][200/313], lr: 0.00200	Loss 2.1389 (2.2587)	Prec@1 18.750 (17.456)	Prec@5 70.312 (63.876)
Epoch: [0][210/313], lr: 0.00200	Loss 2.3398 (2.2541)	Prec@1 15.625 (17.639)	Prec@5 59.375 (64.107)
Epoch: [0][220/313], lr: 0.00200	Loss 2.2507 (2.2498)	Prec@1 14.062 (17.771)	Prec@5 63.281 (64.349)
Epoch: [0][230/313], lr: 0.00200	Loss 2.1266 (2.2469)	Prec@1 27.344 (17.925)	Prec@5 69.531 (64.455)
Epoch: [0][240/313], lr: 0.00200	Loss 2.1772 (2.2449)	Prec@1 17.969 (18.053)	Prec@5 67.969 (64.549)
Epoch: [0][250/313], lr: 0.00200	Loss 2.2701 (2.2442)	Prec@1 26.562 (18.106)	Prec@5 66.406 (64.604)
Epoch: [0][260/313], lr: 0.00200	Loss 2.1710 (2.2422)	Prec@1 19.531 (18.151)	Prec@5 73.438 (64.757)
Epoch: [0][270/313], lr: 0.00200	Loss 2.3023 (2.2409)	Prec@1 17.188 (18.280)	Prec@5 61.719 (64.864)
Epoch: [0][280/313], lr: 0.00200	Loss 2.1625 (2.2381)	Prec@1 24.219 (18.422)	Prec@5 71.875 (65.063)
Epoch: [0][290/313], lr: 0.00200	Loss 2.0711 (2.2355)	Prec@1 22.656 (18.524)	Prec@5 78.125 (65.244)
Epoch: [0][300/313], lr: 0.00200	Loss 2.0658 (2.2317)	Prec@1 25.000 (18.670)	Prec@5 74.219 (65.423)
Epoch: [0][310/313], lr: 0.00200	Loss 2.2907 (2.2287)	Prec@1 20.312 (18.833)	Prec@5 67.188 (65.612)
Epoch [0] Training Results: Prec@1 18.825 Prec@5 65.610             Loss 2.22888
Epoch [0] Training Class Recall: [0.381,0.496,0.196,0.204,0.170,0.112,0.096,0.083,0.075,0.070]

Epoch: [1][0/313], lr: 0.00400	Loss 2.1299 (2.1299)	Prec@1 19.531 (19.531)	Prec@5 70.312 (70.312)
