Epoch: [0][0/313], lr: 0.00200	Loss 2.7205 (2.7205)	Prec@1 15.625 (15.625)	Prec@5 56.250 (56.250)
Epoch: [0][10/313], lr: 0.00200	Loss 2.3402 (2.4803)	Prec@1 17.188 (10.938)	Prec@5 54.688 (52.202)
Epoch: [0][20/313], lr: 0.00200	Loss 2.1750 (2.3787)	Prec@1 16.406 (13.839)	Prec@5 72.656 (58.073)
Epoch: [0][30/313], lr: 0.00200	Loss 2.0386 (2.2915)	Prec@1 22.656 (16.507)	Prec@5 76.562 (63.936)
Epoch: [0][40/313], lr: 0.00200	Loss 1.9187 (2.2190)	Prec@1 32.031 (19.226)	Prec@5 82.031 (67.778)
Epoch: [0][50/313], lr: 0.00200	Loss 1.9069 (2.1586)	Prec@1 32.812 (21.094)	Prec@5 82.031 (70.650)
Epoch: [0][60/313], lr: 0.00200	Loss 1.8503 (2.1105)	Prec@1 36.719 (22.669)	Prec@5 81.250 (72.848)
Epoch: [0][70/313], lr: 0.00200	Loss 1.7928 (2.0724)	Prec@1 31.250 (23.603)	Prec@5 89.062 (74.615)
Epoch: [0][80/313], lr: 0.00200	Loss 1.7204 (2.0368)	Prec@1 34.375 (24.595)	Prec@5 88.281 (76.080)
Epoch: [0][90/313], lr: 0.00200	Loss 1.6596 (2.0074)	Prec@1 29.688 (25.283)	Prec@5 92.969 (77.232)
Epoch: [0][100/313], lr: 0.00200	Loss 1.7741 (1.9769)	Prec@1 32.812 (26.284)	Prec@5 92.188 (78.419)
Epoch: [0][110/313], lr: 0.00200	Loss 1.7453 (1.9517)	Prec@1 39.062 (27.104)	Prec@5 92.188 (79.427)
Epoch: [0][120/313], lr: 0.00200	Loss 1.6968 (1.9263)	Prec@1 35.156 (27.918)	Prec@5 89.844 (80.275)
Epoch: [0][130/313], lr: 0.00200	Loss 1.6645 (1.9103)	Prec@1 33.594 (28.483)	Prec@5 89.062 (80.880)
Epoch: [0][140/313], lr: 0.00200	Loss 1.6388 (1.8934)	Prec@1 43.750 (29.161)	Prec@5 88.281 (81.438)
Epoch: [0][150/313], lr: 0.00200	Loss 1.6026 (1.8745)	Prec@1 37.500 (29.879)	Prec@5 89.844 (82.104)
Epoch: [0][160/313], lr: 0.00200	Loss 1.5647 (1.8546)	Prec@1 38.281 (30.527)	Prec@5 93.750 (82.783)
Epoch: [0][170/313], lr: 0.00200	Loss 1.6065 (1.8424)	Prec@1 38.281 (31.054)	Prec@5 89.062 (83.205)
Epoch: [0][180/313], lr: 0.00200	Loss 1.4807 (1.8266)	Prec@1 33.594 (31.552)	Prec@5 93.750 (83.641)
Epoch: [0][190/313], lr: 0.00200	Loss 1.4872 (1.8106)	Prec@1 44.531 (32.097)	Prec@5 93.750 (84.101)
Epoch: [0][200/313], lr: 0.00200	Loss 1.4633 (1.7968)	Prec@1 50.000 (32.704)	Prec@5 90.625 (84.433)
Epoch: [0][210/313], lr: 0.00200	Loss 1.6981 (1.7844)	Prec@1 34.375 (33.149)	Prec@5 89.844 (84.734)
Epoch: [0][220/313], lr: 0.00200	Loss 1.3859 (1.7695)	Prec@1 42.188 (33.693)	Prec@5 94.531 (85.107)
Epoch: [0][230/313], lr: 0.00200	Loss 1.4474 (1.7569)	Prec@1 46.875 (34.138)	Prec@5 87.500 (85.427)
Epoch: [0][240/313], lr: 0.00200	Loss 1.3452 (1.7447)	Prec@1 46.094 (34.641)	Prec@5 97.656 (85.762)
Epoch: [0][250/313], lr: 0.00200	Loss 1.5270 (1.7327)	Prec@1 42.969 (35.057)	Prec@5 94.531 (86.056)
Epoch: [0][260/313], lr: 0.00200	Loss 1.3082 (1.7211)	Prec@1 46.875 (35.542)	Prec@5 94.531 (86.339)
Epoch: [0][270/313], lr: 0.00200	Loss 1.3265 (1.7086)	Prec@1 46.875 (36.021)	Prec@5 96.094 (86.612)
Epoch: [0][280/313], lr: 0.00200	Loss 1.3047 (1.6973)	Prec@1 53.125 (36.438)	Prec@5 91.406 (86.819)
Epoch: [0][290/313], lr: 0.00200	Loss 1.2113 (1.6852)	Prec@1 55.469 (36.925)	Prec@5 95.312 (87.076)
Epoch: [0][300/313], lr: 0.00200	Loss 1.5224 (1.6748)	Prec@1 44.531 (37.331)	Prec@5 92.969 (87.326)
Epoch: [0][310/313], lr: 0.00200	Loss 1.3429 (1.6614)	Prec@1 53.906 (37.862)	Prec@5 96.094 (87.578)
Epoch [0] Training Results: Prec@1 37.925 Prec@5 87.618             Loss 1.65943
Epoch [0] Training Class Recall: [0.397,0.500,0.181,0.202,0.266,0.293,0.446,0.426,0.533,0.547]

Epoch: [1][0/313], lr: 0.00400	Loss 1.2302 (1.2302)	Prec@1 49.219 (49.219)	Prec@5 95.312 (95.312)
Epoch: [1][10/313], lr: 0.00400	Loss 1.4745 (1.4318)	Prec@1 45.312 (47.514)	Prec@5 95.312 (93.324)
Epoch: [1][20/313], lr: 0.00400	Loss 1.3469 (1.4450)	Prec@1 55.469 (47.396)	Prec@5 92.188 (92.857)
Epoch: [1][30/313], lr: 0.00400	Loss 1.6081 (1.4705)	Prec@1 39.844 (46.396)	Prec@5 89.062 (92.440)
Epoch: [1][40/313], lr: 0.00400	Loss 1.3618 (1.4689)	Prec@1 47.656 (46.341)	Prec@5 92.969 (92.454)
Epoch: [1][50/313], lr: 0.00400	Loss 1.3093 (1.4724)	Prec@1 45.312 (46.063)	Prec@5 96.875 (92.402)
Epoch: [1][60/313], lr: 0.00400	Loss 1.2641 (1.4559)	Prec@1 52.344 (46.606)	Prec@5 96.875 (92.661)
Epoch: [1][70/313], lr: 0.00400	Loss 1.1017 (1.4352)	Prec@1 60.156 (47.337)	Prec@5 98.438 (92.947)
Epoch: [1][80/313], lr: 0.00400	Loss 1.2176 (1.4199)	Prec@1 57.031 (47.965)	Prec@5 95.312 (93.133)
Epoch: [1][90/313], lr: 0.00400	Loss 1.3214 (1.4043)	Prec@1 54.688 (48.618)	Prec@5 95.312 (93.304)
Epoch: [1][100/313], lr: 0.00400	Loss 1.4903 (1.3910)	Prec@1 46.094 (49.203)	Prec@5 94.531 (93.487)
Epoch: [1][110/313], lr: 0.00400	Loss 1.1373 (1.3824)	Prec@1 58.594 (49.388)	Prec@5 95.312 (93.553)
Epoch: [1][120/313], lr: 0.00400	Loss 1.1132 (1.3745)	Prec@1 56.250 (49.722)	Prec@5 92.969 (93.666)
Epoch: [1][130/313], lr: 0.00400	Loss 1.3252 (1.3636)	Prec@1 50.000 (50.107)	Prec@5 96.094 (93.822)
Epoch: [1][140/313], lr: 0.00400	Loss 1.2687 (1.3559)	Prec@1 52.344 (50.344)	Prec@5 96.875 (93.983)
Epoch: [1][150/313], lr: 0.00400	Loss 1.1078 (1.3454)	Prec@1 60.156 (50.688)	Prec@5 96.875 (94.154)
Epoch: [1][160/313], lr: 0.00400	Loss 0.9741 (1.3313)	Prec@1 67.969 (51.305)	Prec@5 97.656 (94.293)
Epoch: [1][170/313], lr: 0.00400	Loss 1.1517 (1.3230)	Prec@1 51.562 (51.645)	Prec@5 99.219 (94.344)
Epoch: [1][180/313], lr: 0.00400	Loss 1.3611 (1.3155)	Prec@1 50.000 (51.903)	Prec@5 93.750 (94.419)
Epoch: [1][190/313], lr: 0.00400	Loss 1.1317 (1.3052)	Prec@1 60.938 (52.348)	Prec@5 98.438 (94.523)
Epoch: [1][200/313], lr: 0.00400	Loss 1.0436 (1.2942)	Prec@1 65.625 (52.721)	Prec@5 97.656 (94.644)
Epoch: [1][210/313], lr: 0.00400	Loss 0.9901 (1.2830)	Prec@1 67.188 (53.158)	Prec@5 96.875 (94.753)
Epoch: [1][220/313], lr: 0.00400	Loss 1.0167 (1.2720)	Prec@1 60.938 (53.599)	Prec@5 96.875 (94.842)
Epoch: [1][230/313], lr: 0.00400	Loss 0.9304 (1.2616)	Prec@1 64.844 (53.984)	Prec@5 96.094 (94.903)
Epoch: [1][240/313], lr: 0.00400	Loss 0.8899 (1.2527)	Prec@1 70.312 (54.337)	Prec@5 97.656 (95.018)
Epoch: [1][250/313], lr: 0.00400	Loss 1.1789 (1.2433)	Prec@1 64.844 (54.694)	Prec@5 96.094 (95.104)
Epoch: [1][260/313], lr: 0.00400	Loss 1.1313 (1.2370)	Prec@1 60.156 (54.906)	Prec@5 97.656 (95.196)
Epoch: [1][270/313], lr: 0.00400	Loss 1.0305 (1.2306)	Prec@1 67.969 (55.166)	Prec@5 96.875 (95.269)
Epoch: [1][280/313], lr: 0.00400	Loss 1.0516 (1.2239)	Prec@1 63.281 (55.388)	Prec@5 95.312 (95.310)
Epoch: [1][290/313], lr: 0.00400	Loss 1.0330 (1.2160)	Prec@1 59.375 (55.673)	Prec@5 99.219 (95.393)
Epoch: [1][300/313], lr: 0.00400	Loss 1.0548 (1.2070)	Prec@1 62.500 (55.988)	Prec@5 97.656 (95.479)
Epoch: [1][310/313], lr: 0.00400	Loss 0.7266 (1.1979)	Prec@1 76.562 (56.325)	Prec@5 98.438 (95.541)
Epoch [1] Training Results: Prec@1 56.347 Prec@5 95.550             Loss 1.19771
Epoch [1] Training Class Recall: [0.568,0.676,0.319,0.351,0.360,0.431,0.655,0.630,0.784,0.860]

Epoch: [2][0/313], lr: 0.00600	Loss 1.0026 (1.0026)	Prec@1 61.719 (61.719)	Prec@5 99.219 (99.219)
Epoch: [2][10/313], lr: 0.00600	Loss 0.9723 (1.0091)	Prec@1 67.969 (63.565)	Prec@5 97.656 (97.514)
Epoch: [2][20/313], lr: 0.00600	Loss 0.9706 (1.0180)	Prec@1 64.844 (63.690)	Prec@5 97.656 (97.173)
Epoch: [2][30/313], lr: 0.00600	Loss 1.2766 (1.0379)	Prec@1 54.688 (62.903)	Prec@5 93.750 (97.051)
Epoch: [2][40/313], lr: 0.00600	Loss 1.2749 (1.0539)	Prec@1 54.688 (62.195)	Prec@5 94.531 (96.932)
Epoch: [2][50/313], lr: 0.00600	Loss 1.1075 (1.0731)	Prec@1 59.375 (61.305)	Prec@5 96.094 (96.783)
