Epoch: [0][0/313], lr: 0.00200	Loss 2.7205 (2.7205)	Prec@1 15.625 (15.625)	Prec@5 56.250 (56.250)
Epoch: [0][10/313], lr: 0.00200	Loss 2.3471 (2.4812)	Prec@1 16.406 (10.938)	Prec@5 52.344 (51.989)
Epoch: [0][20/313], lr: 0.00200	Loss 2.1859 (2.3793)	Prec@1 14.844 (13.690)	Prec@5 74.219 (58.445)
Epoch: [0][30/313], lr: 0.00200	Loss 2.0060 (2.2931)	Prec@1 23.438 (16.230)	Prec@5 76.562 (63.785)
Epoch: [0][40/313], lr: 0.00200	Loss 1.8895 (2.2192)	Prec@1 35.156 (18.998)	Prec@5 82.031 (67.645)
Epoch: [0][50/313], lr: 0.00200	Loss 1.9044 (2.1580)	Prec@1 30.469 (20.987)	Prec@5 83.594 (70.358)
Epoch: [0][60/313], lr: 0.00200	Loss 1.8393 (2.1058)	Prec@1 38.281 (22.759)	Prec@5 81.250 (72.567)
Epoch: [0][70/313], lr: 0.00200	Loss 1.8132 (2.0701)	Prec@1 31.250 (23.724)	Prec@5 85.938 (74.263)
Epoch: [0][80/313], lr: 0.00200	Loss 1.7520 (2.0351)	Prec@1 31.250 (24.807)	Prec@5 89.062 (75.781)
Epoch: [0][90/313], lr: 0.00200	Loss 1.6074 (2.0057)	Prec@1 35.938 (25.498)	Prec@5 91.406 (76.957)
Epoch: [0][100/313], lr: 0.00200	Loss 1.6694 (1.9745)	Prec@1 37.500 (26.454)	Prec@5 92.969 (78.133)
Epoch: [0][110/313], lr: 0.00200	Loss 1.6575 (1.9499)	Prec@1 37.500 (27.168)	Prec@5 93.750 (79.124)
Epoch: [0][120/313], lr: 0.00200	Loss 1.6911 (1.9247)	Prec@1 36.719 (28.073)	Prec@5 86.719 (79.901)
Epoch: [0][130/313], lr: 0.00200	Loss 1.6635 (1.9075)	Prec@1 33.594 (28.674)	Prec@5 88.281 (80.612)
Epoch: [0][140/313], lr: 0.00200	Loss 1.6159 (1.8876)	Prec@1 42.188 (29.327)	Prec@5 89.844 (81.206)
Epoch: [0][150/313], lr: 0.00200	Loss 1.4684 (1.8706)	Prec@1 42.969 (29.998)	Prec@5 89.844 (81.773)
Epoch: [0][160/313], lr: 0.00200	Loss 1.5801 (1.8506)	Prec@1 44.531 (30.687)	Prec@5 92.969 (82.444)
Epoch: [0][170/313], lr: 0.00200	Loss 1.5154 (1.8359)	Prec@1 39.844 (31.163)	Prec@5 92.188 (82.904)
Epoch: [0][180/313], lr: 0.00200	Loss 1.3880 (1.8182)	Prec@1 39.844 (31.781)	Prec@5 95.312 (83.434)
Epoch: [0][190/313], lr: 0.00200	Loss 1.4882 (1.8037)	Prec@1 45.312 (32.285)	Prec@5 93.750 (83.950)
Epoch: [0][200/313], lr: 0.00200	Loss 1.4534 (1.7880)	Prec@1 45.312 (32.941)	Prec@5 89.062 (84.363)
Epoch: [0][210/313], lr: 0.00200	Loss 1.5919 (1.7738)	Prec@1 34.375 (33.453)	Prec@5 91.406 (84.779)
Epoch: [0][220/313], lr: 0.00200	Loss 1.3354 (1.7593)	Prec@1 49.219 (34.043)	Prec@5 95.312 (85.156)
Epoch: [0][230/313], lr: 0.00200	Loss 1.4851 (1.7454)	Prec@1 47.656 (34.541)	Prec@5 89.844 (85.488)
Epoch: [0][240/313], lr: 0.00200	Loss 1.2572 (1.7309)	Prec@1 50.781 (35.192)	Prec@5 96.094 (85.837)
Epoch: [0][250/313], lr: 0.00200	Loss 1.5054 (1.7173)	Prec@1 43.750 (35.648)	Prec@5 91.406 (86.177)
Epoch: [0][260/313], lr: 0.00200	Loss 1.2672 (1.7039)	Prec@1 54.688 (36.237)	Prec@5 94.531 (86.422)
Epoch: [0][270/313], lr: 0.00200	Loss 1.2992 (1.6913)	Prec@1 51.562 (36.805)	Prec@5 96.094 (86.693)
Epoch: [0][280/313], lr: 0.00200	Loss 1.2848 (1.6788)	Prec@1 53.125 (37.300)	Prec@5 96.094 (86.955)
Epoch: [0][290/313], lr: 0.00200	Loss 1.2173 (1.6667)	Prec@1 50.000 (37.739)	Prec@5 96.875 (87.218)
Epoch: [0][300/313], lr: 0.00200	Loss 1.4823 (1.6556)	Prec@1 47.656 (38.177)	Prec@5 92.969 (87.453)
Epoch: [0][310/313], lr: 0.00200	Loss 1.4116 (1.6422)	Prec@1 49.219 (38.673)	Prec@5 95.312 (87.706)
Epoch [0] Training Results: Prec@1 38.752 Prec@5 87.737             Loss 1.64018
Epoch [0] Training Class Recall: [0.400,0.500,0.199,0.191,0.271,0.313,0.451,0.456,0.533,0.562]

Epoch: [1][0/313], lr: 0.00400	Loss 1.1760 (1.1760)	Prec@1 57.031 (57.031)	Prec@5 95.312 (95.312)
Epoch: [1][10/313], lr: 0.00400	Loss 1.5468 (1.4348)	Prec@1 40.625 (48.580)	Prec@5 93.750 (93.466)
Epoch: [1][20/313], lr: 0.00400	Loss 1.2227 (1.4040)	Prec@1 57.812 (49.591)	Prec@5 94.531 (93.601)
Epoch: [1][30/313], lr: 0.00400	Loss 1.4153 (1.3934)	Prec@1 48.438 (49.345)	Prec@5 90.625 (93.473)
Epoch: [1][40/313], lr: 0.00400	Loss 1.4506 (1.3905)	Prec@1 45.312 (49.486)	Prec@5 92.188 (93.693)
Epoch: [1][50/313], lr: 0.00400	Loss 1.3206 (1.3958)	Prec@1 50.781 (49.326)	Prec@5 94.531 (93.566)
Epoch: [1][60/313], lr: 0.00400	Loss 1.2724 (1.3867)	Prec@1 55.469 (49.757)	Prec@5 95.312 (93.494)
Epoch: [1][70/313], lr: 0.00400	Loss 1.1882 (1.3753)	Prec@1 59.375 (50.154)	Prec@5 95.312 (93.596)
Epoch: [1][80/313], lr: 0.00400	Loss 1.2498 (1.3608)	Prec@1 53.906 (50.733)	Prec@5 95.312 (93.615)
Epoch: [1][90/313], lr: 0.00400	Loss 1.2856 (1.3436)	Prec@1 57.031 (51.356)	Prec@5 97.656 (93.836)
Epoch: [1][100/313], lr: 0.00400	Loss 1.4228 (1.3268)	Prec@1 42.969 (51.825)	Prec@5 95.312 (94.075)
Epoch: [1][110/313], lr: 0.00400	Loss 1.0273 (1.3150)	Prec@1 60.938 (52.217)	Prec@5 93.750 (94.186)
Epoch: [1][120/313], lr: 0.00400	Loss 0.9324 (1.3048)	Prec@1 68.750 (52.654)	Prec@5 98.438 (94.383)
Epoch: [1][130/313], lr: 0.00400	Loss 1.2457 (1.2936)	Prec@1 58.594 (53.238)	Prec@5 92.969 (94.466)
Epoch: [1][140/313], lr: 0.00400	Loss 1.2308 (1.2895)	Prec@1 54.688 (53.419)	Prec@5 96.875 (94.465)
Epoch: [1][150/313], lr: 0.00400	Loss 1.0528 (1.2785)	Prec@1 60.156 (53.673)	Prec@5 93.750 (94.604)
Epoch: [1][160/313], lr: 0.00400	Loss 0.9177 (1.2647)	Prec@1 67.969 (54.154)	Prec@5 98.438 (94.769)
Epoch: [1][170/313], lr: 0.00400	Loss 1.1103 (1.2558)	Prec@1 54.688 (54.473)	Prec@5 96.094 (94.837)
Epoch: [1][180/313], lr: 0.00400	Loss 1.3304 (1.2495)	Prec@1 51.562 (54.675)	Prec@5 94.531 (94.920)
Epoch: [1][190/313], lr: 0.00400	Loss 1.2144 (1.2395)	Prec@1 54.688 (55.015)	Prec@5 96.875 (95.010)
