Epoch: [0][0/97], lr: 0.00200	Loss 3.1222 (3.1222)	Prec@1 3.125 (3.125)	Prec@5 27.344 (27.344)
Epoch: [0][10/97], lr: 0.00200	Loss 2.0945 (2.4357)	Prec@1 30.469 (22.656)	Prec@5 71.875 (71.378)
Epoch: [0][20/97], lr: 0.00200	Loss 2.0610 (2.2509)	Prec@1 28.906 (27.381)	Prec@5 80.469 (74.368)
Epoch: [0][30/97], lr: 0.00200	Loss 2.0987 (2.1778)	Prec@1 32.031 (28.906)	Prec@5 72.656 (73.841)
Epoch: [0][40/97], lr: 0.00200	Loss 1.9659 (2.1258)	Prec@1 34.375 (29.954)	Prec@5 80.469 (75.705)
Epoch: [0][50/97], lr: 0.00200	Loss 2.0058 (2.0823)	Prec@1 28.125 (30.760)	Prec@5 76.562 (76.792)
Epoch: [0][60/97], lr: 0.00200	Loss 1.9468 (2.0527)	Prec@1 32.812 (32.095)	Prec@5 78.906 (77.344)
Epoch: [0][70/97], lr: 0.00200	Loss 1.7342 (2.0220)	Prec@1 41.406 (33.088)	Prec@5 85.938 (77.971)
Epoch: [0][80/97], lr: 0.00200	Loss 1.8378 (2.0058)	Prec@1 43.750 (33.758)	Prec@5 85.156 (78.173)
Epoch: [0][90/97], lr: 0.00200	Loss 1.6813 (1.9843)	Prec@1 49.219 (34.787)	Prec@5 82.812 (78.520)
Epoch [0] Training Results: Prec@1 35.346 Prec@5 78.849             Loss 1.97220
Epoch [0] Training Class Recall: [0.732,0.417,0.231,0.027,0.035,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/97], lr: 0.00400	Loss 1.7686 (1.7686)	Prec@1 47.656 (47.656)	Prec@5 83.594 (83.594)
Epoch: [1][10/97], lr: 0.00400	Loss 1.8091 (1.9042)	Prec@1 42.188 (40.412)	Prec@5 85.156 (79.332)
Epoch: [1][20/97], lr: 0.00400	Loss 1.9062 (1.9108)	Prec@1 35.938 (40.179)	Prec@5 79.688 (78.720)
Epoch: [1][30/97], lr: 0.00400	Loss 1.8766 (1.9336)	Prec@1 40.625 (38.886)	Prec@5 78.906 (78.856)
Epoch: [1][40/97], lr: 0.00400	Loss 1.9887 (1.9365)	Prec@1 33.594 (38.300)	Prec@5 83.594 (79.345)
Epoch: [1][50/97], lr: 0.00400	Loss 1.7758 (1.9338)	Prec@1 42.969 (38.189)	Prec@5 82.031 (79.580)
Epoch: [1][60/97], lr: 0.00400	Loss 1.9274 (1.9312)	Prec@1 34.375 (38.115)	Prec@5 81.250 (79.611)
Epoch: [1][70/97], lr: 0.00400	Loss 1.8104 (1.9163)	Prec@1 40.625 (38.743)	Prec@5 82.031 (79.930)
Epoch: [1][80/97], lr: 0.00400	Loss 1.7944 (1.9056)	Prec@1 38.281 (39.062)	Prec@5 79.688 (80.199)
Epoch: [1][90/97], lr: 0.00400	Loss 1.7702 (1.8959)	Prec@1 50.000 (39.552)	Prec@5 80.469 (80.297)
Epoch [1] Training Results: Prec@1 39.884 Prec@5 80.429             Loss 1.89139
Epoch [1] Training Class Recall: [0.734,0.578,0.298,0.081,0.012,0.000,0.000,0.000,0.000,0.000]

Epoch: [2][0/97], lr: 0.00600	Loss 1.6541 (1.6541)	Prec@1 47.656 (47.656)	Prec@5 85.156 (85.156)
