Epoch: [0][0/282], lr: 0.00200	Loss 2.8846 (2.8846)	Prec@1 8.594 (8.594)	Prec@5 43.750 (43.750)
Epoch: [0][10/282], lr: 0.00200	Loss 2.6582 (2.5479)	Prec@1 8.594 (9.801)	Prec@5 50.000 (50.497)
Epoch: [0][20/282], lr: 0.00200	Loss 2.3919 (2.4747)	Prec@1 8.594 (10.863)	Prec@5 57.812 (53.311)
Epoch: [0][30/282], lr: 0.00200	Loss 2.1892 (2.4064)	Prec@1 16.406 (13.029)	Prec@5 69.531 (57.283)
Epoch: [0][40/282], lr: 0.00200	Loss 2.2740 (2.3715)	Prec@1 13.281 (13.910)	Prec@5 66.406 (59.585)
Epoch: [0][50/282], lr: 0.00200	Loss 2.1246 (2.3350)	Prec@1 22.656 (14.767)	Prec@5 73.438 (61.443)
Epoch: [0][60/282], lr: 0.00200	Loss 2.2176 (2.3073)	Prec@1 16.406 (15.599)	Prec@5 67.969 (62.782)
Epoch: [0][70/282], lr: 0.00200	Loss 2.1075 (2.2826)	Prec@1 23.438 (16.395)	Prec@5 71.094 (64.327)
Epoch: [0][80/282], lr: 0.00200	Loss 2.0641 (2.2633)	Prec@1 27.344 (17.236)	Prec@5 74.219 (65.355)
Epoch: [0][90/282], lr: 0.00200	Loss 2.2034 (2.2479)	Prec@1 17.969 (18.063)	Prec@5 67.969 (66.054)
Epoch: [0][100/282], lr: 0.00200	Loss 2.0930 (2.2370)	Prec@1 28.906 (18.634)	Prec@5 69.531 (66.870)
Epoch: [0][110/282], lr: 0.00200	Loss 2.1061 (2.2257)	Prec@1 24.219 (19.172)	Prec@5 74.219 (67.610)
Epoch: [0][120/282], lr: 0.00200	Loss 2.0055 (2.2167)	Prec@1 26.562 (19.647)	Prec@5 80.469 (68.182)
Epoch: [0][130/282], lr: 0.00200	Loss 2.1981 (2.2099)	Prec@1 24.219 (19.967)	Prec@5 70.312 (68.696)
Epoch: [0][140/282], lr: 0.00200	Loss 2.2877 (2.2049)	Prec@1 22.656 (20.279)	Prec@5 61.719 (68.961)
Epoch: [0][150/282], lr: 0.00200	Loss 2.2165 (2.1997)	Prec@1 19.531 (20.447)	Prec@5 68.750 (69.381)
Epoch: [0][160/282], lr: 0.00200	Loss 2.0442 (2.1915)	Prec@1 34.375 (20.871)	Prec@5 70.312 (69.784)
Epoch: [0][170/282], lr: 0.00200	Loss 2.0280 (2.1854)	Prec@1 26.562 (21.117)	Prec@5 75.000 (69.993)
Epoch: [0][180/282], lr: 0.00200	Loss 1.9916 (2.1777)	Prec@1 29.688 (21.530)	Prec@5 77.344 (70.304)
Epoch: [0][190/282], lr: 0.00200	Loss 2.2315 (2.1733)	Prec@1 24.219 (21.777)	Prec@5 70.312 (70.501)
Epoch: [0][200/282], lr: 0.00200	Loss 1.8762 (2.1654)	Prec@1 37.500 (22.178)	Prec@5 82.031 (70.841)
Epoch: [0][210/282], lr: 0.00200	Loss 2.0380 (2.1620)	Prec@1 30.469 (22.271)	Prec@5 76.562 (71.016)
Epoch: [0][220/282], lr: 0.00200	Loss 2.1426 (2.1568)	Prec@1 23.438 (22.469)	Prec@5 75.000 (71.246)
Epoch: [0][230/282], lr: 0.00200	Loss 2.0548 (2.1528)	Prec@1 28.906 (22.673)	Prec@5 75.000 (71.388)
Epoch: [0][240/282], lr: 0.00200	Loss 2.0238 (2.1468)	Prec@1 26.562 (22.890)	Prec@5 78.125 (71.619)
Epoch: [0][250/282], lr: 0.00200	Loss 2.0945 (2.1444)	Prec@1 26.562 (23.033)	Prec@5 70.312 (71.722)
Epoch: [0][260/282], lr: 0.00200	Loss 1.9179 (2.1385)	Prec@1 30.469 (23.288)	Prec@5 82.812 (71.986)
Epoch: [0][270/282], lr: 0.00200	Loss 2.2032 (2.1333)	Prec@1 22.656 (23.541)	Prec@5 71.094 (72.218)
Epoch: [0][280/282], lr: 0.00200	Loss 2.0395 (2.1288)	Prec@1 25.000 (23.821)	Prec@5 76.562 (72.320)
Epoch [0] Training Results: Prec@1 23.825 Prec@5 72.333             Loss 2.12884
Epoch [0] Training Class Recall: [0.249,0.325,0.103,0.162,0.211,0.216,0.251,0.266,0.317,0.282]

Epoch: [1][0/282], lr: 0.00400	Loss 2.0702 (2.0702)	Prec@1 26.562 (26.562)	Prec@5 72.656 (72.656)
Epoch: [1][10/282], lr: 0.00400	Loss 2.1955 (2.0776)	Prec@1 21.875 (28.054)	Prec@5 68.750 (75.000)
Epoch: [1][20/282], lr: 0.00400	Loss 2.0744 (2.0903)	Prec@1 30.469 (27.790)	Prec@5 75.000 (73.549)
