Epoch: [0][0/40], lr: 0.00200	Loss 3.2353 (3.2353)	Prec@1 4.688 (4.688)	Prec@5 27.344 (27.344)
Epoch: [0][10/40], lr: 0.00200	Loss 2.3174 (2.5480)	Prec@1 33.594 (17.472)	Prec@5 72.656 (63.849)
Epoch: [0][20/40], lr: 0.00200	Loss 2.1963 (2.3739)	Prec@1 24.219 (22.619)	Prec@5 78.906 (67.894)
Epoch: [0][30/40], lr: 0.00200	Loss 1.9344 (2.2405)	Prec@1 39.844 (27.092)	Prec@5 78.906 (71.195)
Epoch [0] Training Results: Prec@1 29.320 Prec@5 72.920             Loss 2.16383
Epoch [0] Training Class Recall: [0.465,0.196,0.000,0.078,0.057,0.417,0.059,0.018,0.071,0.641]

Epoch: [1][0/40], lr: 0.00400	Loss 1.7696 (1.7696)	Prec@1 41.406 (41.406)	Prec@5 82.812 (82.812)
Epoch: [1][10/40], lr: 0.00400	Loss 1.7395 (1.9381)	Prec@1 47.656 (41.335)	Prec@5 78.906 (78.835)
Epoch: [1][20/40], lr: 0.00400	Loss 1.8685 (1.9924)	Prec@1 39.844 (38.951)	Prec@5 82.031 (77.567)
Epoch: [1][30/40], lr: 0.00400	Loss 1.7377 (1.9506)	Prec@1 45.312 (39.239)	Prec@5 77.344 (78.075)
Epoch [1] Training Results: Prec@1 39.400 Prec@5 78.680             Loss 1.92480
Epoch [1] Training Class Recall: [0.561,0.439,0.000,0.123,0.095,0.493,0.099,0.036,0.212,0.775]

Epoch: [2][0/40], lr: 0.00600	Loss 2.0963 (2.0963)	Prec@1 26.562 (26.562)	Prec@5 77.344 (77.344)
Epoch: [2][10/40], lr: 0.00600	Loss 2.1139 (2.1477)	Prec@1 30.469 (33.381)	Prec@5 78.906 (74.716)
Epoch: [2][20/40], lr: 0.00600	Loss 1.9119 (2.0585)	Prec@1 43.750 (35.975)	Prec@5 78.125 (75.856)
Epoch: [2][30/40], lr: 0.00600	Loss 1.6907 (1.9696)	Prec@1 50.781 (38.962)	Prec@5 85.938 (77.848)
Epoch [2] Training Results: Prec@1 40.440 Prec@5 79.080             Loss 1.91195
Epoch [2] Training Class Recall: [0.553,0.456,0.000,0.086,0.145,0.510,0.235,0.033,0.249,0.759]

Epoch: [3][0/40], lr: 0.00800	Loss 1.8165 (1.8165)	Prec@1 39.844 (39.844)	Prec@5 82.812 (82.812)
Epoch: [3][10/40], lr: 0.00800	Loss 1.7168 (1.8336)	Prec@1 45.312 (39.915)	Prec@5 83.594 (81.747)
Epoch: [3][20/40], lr: 0.00800	Loss 1.8764 (1.8085)	Prec@1 42.969 (42.150)	Prec@5 79.688 (81.473)
