Epoch: [0][0/68], lr: 0.00200	Loss 2.8478 (2.8478)	Prec@1 9.375 (9.375)	Prec@5 38.281 (38.281)
Epoch: [0][10/68], lr: 0.00200	Loss 2.0790 (2.2969)	Prec@1 20.312 (28.196)	Prec@5 87.500 (80.256)
Epoch: [0][20/68], lr: 0.00200	Loss 1.9240 (2.1333)	Prec@1 41.406 (31.399)	Prec@5 83.594 (82.738)
Epoch: [0][30/68], lr: 0.00200	Loss 1.7112 (2.0144)	Prec@1 50.000 (35.030)	Prec@5 91.406 (84.803)
Epoch: [0][40/68], lr: 0.00200	Loss 1.7015 (1.9609)	Prec@1 49.219 (36.452)	Prec@5 92.969 (85.842)
Epoch: [0][50/68], lr: 0.00200	Loss 1.6993 (1.9221)	Prec@1 46.094 (37.868)	Prec@5 92.188 (86.703)
Epoch: [0][60/68], lr: 0.00200	Loss 1.6720 (1.8882)	Prec@1 49.219 (39.114)	Prec@5 89.062 (87.538)
Epoch [0] Training Results: Prec@1 39.947 Prec@5 88.105             Loss 1.85801
Epoch [0] Training Class Recall: [0.727,0.113,0.490,0.077,0.051,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/68], lr: 0.00400	Loss 1.5068 (1.5068)	Prec@1 48.438 (48.438)	Prec@5 93.750 (93.750)
Epoch: [1][10/68], lr: 0.00400	Loss 1.6041 (1.7338)	Prec@1 44.531 (43.253)	Prec@5 86.719 (90.767)
Epoch: [1][20/68], lr: 0.00400	Loss 1.7144 (1.7315)	Prec@1 40.625 (44.420)	Prec@5 86.719 (90.439)
Epoch: [1][30/68], lr: 0.00400	Loss 1.5990 (1.7254)	Prec@1 42.188 (44.733)	Prec@5 91.406 (90.927)
Epoch: [1][40/68], lr: 0.00400	Loss 1.4308 (1.7316)	Prec@1 53.906 (44.760)	Prec@5 96.094 (90.873)
Epoch: [1][50/68], lr: 0.00400	Loss 1.6674 (1.7169)	Prec@1 49.219 (45.757)	Prec@5 94.531 (91.452)
Epoch: [1][60/68], lr: 0.00400	Loss 1.8354 (1.7083)	Prec@1 41.406 (45.914)	Prec@5 89.062 (91.726)
Epoch [1] Training Results: Prec@1 46.142 Prec@5 91.801             Loss 1.69882
