Epoch: [0][0/68], lr: 0.00200	Loss 2.8786 (2.8786)	Prec@1 9.375 (9.375)	Prec@5 38.281 (38.281)
Epoch: [0][10/68], lr: 0.00200	Loss 2.0993 (2.2868)	Prec@1 22.656 (29.048)	Prec@5 84.375 (79.972)
Epoch: [0][20/68], lr: 0.00200	Loss 1.9283 (2.1052)	Prec@1 38.281 (32.254)	Prec@5 82.812 (83.482)
Epoch: [0][30/68], lr: 0.00200	Loss 1.6309 (1.9798)	Prec@1 50.781 (36.038)	Prec@5 90.625 (85.030)
Epoch: [0][40/68], lr: 0.00200	Loss 1.6421 (1.9165)	Prec@1 49.219 (37.614)	Prec@5 92.188 (86.052)
Epoch: [0][50/68], lr: 0.00200	Loss 1.5923 (1.8745)	Prec@1 50.781 (38.925)	Prec@5 92.969 (86.719)
Epoch: [0][60/68], lr: 0.00200	Loss 1.7045 (1.8405)	Prec@1 44.531 (39.946)	Prec@5 88.281 (87.513)
Epoch [0] Training Results: Prec@1 40.799 Prec@5 88.070             Loss 1.81283
Epoch [0] Training Class Recall: [0.754,0.066,0.516,0.074,0.036,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/68], lr: 0.00400	Loss 1.5349 (1.5349)	Prec@1 49.219 (49.219)	Prec@5 90.625 (90.625)
Epoch: [1][10/68], lr: 0.00400	Loss 1.5380 (1.6599)	Prec@1 43.750 (43.963)	Prec@5 92.969 (91.690)
Epoch: [1][20/68], lr: 0.00400	Loss 1.6661 (1.6658)	Prec@1 39.844 (44.568)	Prec@5 91.406 (90.811)
Epoch: [1][30/68], lr: 0.00400	Loss 1.5430 (1.6768)	Prec@1 41.406 (44.985)	Prec@5 94.531 (91.104)
Epoch: [1][40/68], lr: 0.00400	Loss 1.4074 (1.6847)	Prec@1 60.156 (45.217)	Prec@5 96.875 (91.139)
Epoch: [1][50/68], lr: 0.00400	Loss 1.5973 (1.6624)	Prec@1 44.531 (45.772)	Prec@5 92.188 (91.590)
Epoch: [1][60/68], lr: 0.00400	Loss 1.7608 (1.6551)	Prec@1 46.094 (45.940)	Prec@5 89.062 (91.790)
Epoch [1] Training Results: Prec@1 46.027 Prec@5 91.893             Loss 1.65024
Epoch [1] Training Class Recall: [0.774,0.345,0.498,0.186,0.054,0.000,0.000,0.000,0.000,0.000]

Epoch: [2][0/68], lr: 0.00600	Loss 1.6951 (1.6951)	Prec@1 53.906 (53.906)	Prec@5 89.062 (89.062)
Epoch: [2][10/68], lr: 0.00600	Loss 1.6978 (1.6300)	Prec@1 47.656 (49.077)	Prec@5 93.750 (92.614)
Epoch: [2][20/68], lr: 0.00600	Loss 1.5390 (1.6073)	Prec@1 50.781 (48.698)	Prec@5 95.312 (92.820)
Epoch: [2][30/68], lr: 0.00600	Loss 1.7232 (1.5939)	Prec@1 42.188 (49.219)	Prec@5 89.844 (92.692)
Epoch: [2][40/68], lr: 0.00600	Loss 1.5184 (1.5676)	Prec@1 55.469 (50.171)	Prec@5 94.531 (92.893)
Epoch: [2][50/68], lr: 0.00600	Loss 1.6471 (1.5599)	Prec@1 50.000 (50.766)	Prec@5 92.969 (93.030)
Epoch: [2][60/68], lr: 0.00600	Loss 1.4589 (1.5534)	Prec@1 50.781 (50.820)	Prec@5 96.094 (92.905)
Epoch [2] Training Results: Prec@1 51.244 Prec@5 92.941             Loss 1.55051
Epoch [2] Training Class Recall: [0.824,0.432,0.511,0.351,0.056,0.000,0.000,0.000,0.000,0.000]

Epoch: [3][0/68], lr: 0.00800	Loss 1.5938 (1.5938)	Prec@1 49.219 (49.219)	Prec@5 95.312 (95.312)
Epoch: [3][10/68], lr: 0.00800	Loss 1.5249 (1.5588)	Prec@1 51.562 (50.852)	Prec@5 92.188 (92.898)
Epoch: [3][20/68], lr: 0.00800	Loss 1.6180 (1.5239)	Prec@1 43.750 (53.571)	Prec@5 95.312 (93.304)
Epoch: [3][30/68], lr: 0.00800	Loss 1.4176 (1.5102)	Prec@1 53.906 (54.209)	Prec@5 93.750 (93.624)
Epoch: [3][40/68], lr: 0.00800	Loss 1.4770 (1.5164)	Prec@1 48.438 (53.811)	Prec@5 92.969 (93.617)
Epoch: [3][50/68], lr: 0.00800	Loss 1.6603 (1.5125)	Prec@1 54.688 (53.523)	Prec@5 92.188 (93.413)
Epoch: [3][60/68], lr: 0.00800	Loss 1.6259 (1.5214)	Prec@1 53.125 (53.471)	Prec@5 95.312 (93.507)
Epoch [3] Training Results: Prec@1 53.420 Prec@5 93.540             Loss 1.52749
Epoch [3] Training Class Recall: [0.845,0.474,0.543,0.386,0.023,0.000,0.004,0.000,0.000,0.000]

Epoch: [4][0/68], lr: 0.01000	Loss 1.3395 (1.3395)	Prec@1 57.812 (57.812)	Prec@5 96.875 (96.875)
Epoch: [4][10/68], lr: 0.01000	Loss 1.5206 (1.5651)	Prec@1 50.000 (52.344)	Prec@5 92.969 (92.969)
Epoch: [4][20/68], lr: 0.01000	Loss 1.7201 (1.5224)	Prec@1 53.906 (51.525)	Prec@5 92.188 (93.415)
Epoch: [4][30/68], lr: 0.01000	Loss 1.7184 (1.5186)	Prec@1 53.906 (52.293)	Prec@5 93.750 (93.221)
Epoch: [4][40/68], lr: 0.01000	Loss 1.3796 (1.5178)	Prec@1 66.406 (52.649)	Prec@5 98.438 (93.598)
Epoch: [4][50/68], lr: 0.01000	Loss 1.3905 (1.5054)	Prec@1 53.125 (53.125)	Prec@5 91.406 (93.520)
Epoch: [4][60/68], lr: 0.01000	Loss 1.5982 (1.4949)	Prec@1 57.031 (53.676)	Prec@5 92.969 (93.763)
Epoch [4] Training Results: Prec@1 53.766 Prec@5 93.862             Loss 1.48821
Epoch [4] Training Class Recall: [0.838,0.477,0.555,0.420,0.017,0.000,0.000,0.000,0.000,0.000]

Epoch: [5][0/68], lr: 0.01000	Loss 1.6086 (1.6086)	Prec@1 55.469 (55.469)	Prec@5 90.625 (90.625)
Epoch: [5][10/68], lr: 0.01000	Loss 1.5835 (1.4814)	Prec@1 56.250 (55.753)	Prec@5 96.875 (94.034)
Epoch: [5][20/68], lr: 0.01000	Loss 1.5137 (1.5129)	Prec@1 64.062 (56.436)	Prec@5 96.094 (94.159)
Epoch: [5][30/68], lr: 0.01000	Loss 1.2049 (1.4920)	Prec@1 57.812 (56.174)	Prec@5 96.875 (94.330)
Epoch: [5][40/68], lr: 0.01000	Loss 1.6259 (1.4808)	Prec@1 54.688 (57.088)	Prec@5 95.312 (94.398)
Epoch: [5][50/68], lr: 0.01000	Loss 1.4362 (1.4847)	Prec@1 62.500 (57.414)	Prec@5 93.750 (94.347)
Epoch: [5][60/68], lr: 0.01000	Loss 1.2417 (1.4697)	Prec@1 59.375 (57.377)	Prec@5 98.438 (94.493)
Epoch [5] Training Results: Prec@1 57.381 Prec@5 94.519             Loss 1.47035
Epoch [5] Training Class Recall: [0.868,0.584,0.577,0.486,0.006,0.000,0.000,0.000,0.000,0.000]

Epoch: [6][0/68], lr: 0.01000	Loss 1.5629 (1.5629)	Prec@1 59.375 (59.375)	Prec@5 93.750 (93.750)
Epoch: [6][10/68], lr: 0.01000	Loss 1.5493 (1.5558)	Prec@1 54.688 (55.824)	Prec@5 91.406 (93.750)
Epoch: [6][20/68], lr: 0.01000	Loss 1.2243 (1.5067)	Prec@1 58.594 (57.106)	Prec@5 93.750 (94.494)
Epoch: [6][30/68], lr: 0.01000	Loss 1.6227 (1.5157)	Prec@1 52.344 (56.603)	Prec@5 92.188 (94.229)
Epoch: [6][40/68], lr: 0.01000	Loss 1.5092 (1.5022)	Prec@1 61.719 (56.955)	Prec@5 95.312 (94.436)
Epoch: [6][50/68], lr: 0.01000	Loss 1.5008 (1.4910)	Prec@1 60.156 (57.430)	Prec@5 96.094 (94.608)
Epoch: [6][60/68], lr: 0.01000	Loss 1.6123 (1.4821)	Prec@1 60.938 (57.544)	Prec@5 91.406 (94.723)
Epoch [6] Training Results: Prec@1 57.865 Prec@5 94.657             Loss 1.47920
Epoch [6] Training Class Recall: [0.863,0.583,0.588,0.513,0.014,0.000,0.022,0.000,0.000,0.000]

Epoch: [7][0/68], lr: 0.01000	Loss 1.8021 (1.8021)	Prec@1 43.750 (43.750)	Prec@5 92.969 (92.969)
Epoch: [7][10/68], lr: 0.01000	Loss 1.3427 (1.4457)	Prec@1 60.938 (57.528)	Prec@5 96.875 (94.744)
Epoch: [7][20/68], lr: 0.01000	Loss 1.6194 (1.4558)	Prec@1 55.469 (58.073)	Prec@5 93.750 (94.792)
Epoch: [7][30/68], lr: 0.01000	Loss 1.5050 (1.4633)	Prec@1 57.031 (58.039)	Prec@5 97.656 (94.808)
Epoch: [7][40/68], lr: 0.01000	Loss 1.4439 (1.4627)	Prec@1 69.531 (58.060)	Prec@5 96.875 (94.970)
Epoch: [7][50/68], lr: 0.01000	Loss 1.3772 (1.4630)	Prec@1 64.844 (58.134)	Prec@5 96.875 (95.083)
Epoch: [7][60/68], lr: 0.01000	Loss 1.2804 (1.4552)	Prec@1 54.688 (58.402)	Prec@5 95.312 (94.813)
Epoch [7] Training Results: Prec@1 58.406 Prec@5 95.025             Loss 1.44134
Epoch [7] Training Class Recall: [0.876,0.607,0.581,0.486,0.047,0.000,0.034,0.000,0.000,0.000]

Epoch: [8][0/68], lr: 0.01000	Loss 1.4835 (1.4835)	Prec@1 63.281 (63.281)	Prec@5 95.312 (95.312)
Epoch: [8][10/68], lr: 0.01000	Loss 1.4121 (1.3862)	Prec@1 64.062 (61.009)	Prec@5 92.969 (95.312)
Epoch: [8][20/68], lr: 0.01000	Loss 1.2746 (1.4080)	Prec@1 67.969 (60.603)	Prec@5 98.438 (95.796)
Epoch: [8][30/68], lr: 0.01000	Loss 1.5675 (1.4085)	Prec@1 61.719 (60.711)	Prec@5 94.531 (95.413)
Epoch: [8][40/68], lr: 0.01000	Loss 1.2910 (1.4145)	Prec@1 66.406 (60.328)	Prec@5 96.875 (95.370)
Epoch: [8][50/68], lr: 0.01000	Loss 1.5928 (1.4278)	Prec@1 59.375 (60.126)	Prec@5 95.312 (95.343)
Epoch: [8][60/68], lr: 0.01000	Loss 1.4798 (1.4434)	Prec@1 59.375 (59.798)	Prec@5 96.094 (95.184)
Epoch [8] Training Results: Prec@1 59.661 Prec@5 95.129             Loss 1.44905
Epoch [8] Training Class Recall: [0.883,0.625,0.600,0.512,0.042,0.000,0.073,0.000,0.000,0.000]

Epoch: [9][0/68], lr: 0.01000	Loss 1.5643 (1.5643)	Prec@1 57.812 (57.812)	Prec@5 96.094 (96.094)
Epoch: [9][10/68], lr: 0.01000	Loss 1.5531 (1.4849)	Prec@1 54.688 (59.091)	Prec@5 93.750 (95.455)
Epoch: [9][20/68], lr: 0.01000	Loss 1.6205 (1.4335)	Prec@1 54.688 (59.933)	Prec@5 94.531 (95.536)
Epoch: [9][30/68], lr: 0.01000	Loss 1.4665 (1.4600)	Prec@1 56.250 (59.577)	Prec@5 94.531 (95.640)
Epoch: [9][40/68], lr: 0.01000	Loss 1.5999 (1.4569)	Prec@1 51.562 (59.604)	Prec@5 92.188 (95.541)
Epoch: [9][50/68], lr: 0.01000	Loss 1.2613 (1.4509)	Prec@1 60.156 (59.819)	Prec@5 91.406 (95.282)
Epoch: [9][60/68], lr: 0.01000	Loss 1.6063 (1.4476)	Prec@1 57.812 (60.131)	Prec@5 95.312 (95.236)
Epoch [9] Training Results: Prec@1 60.191 Prec@5 95.233             Loss 1.44295
Epoch [9] Training Class Recall: [0.886,0.631,0.591,0.514,0.098,0.008,0.091,0.000,0.000,0.000]

Epoch: [10][0/68], lr: 0.01000	Loss 1.6278 (1.6278)	Prec@1 64.062 (64.062)	Prec@5 91.406 (91.406)
Epoch: [10][10/68], lr: 0.01000	Loss 1.3067 (1.4348)	Prec@1 64.062 (60.866)	Prec@5 96.875 (95.028)
Epoch: [10][20/68], lr: 0.01000	Loss 1.1408 (1.3641)	Prec@1 64.062 (62.016)	Prec@5 96.875 (95.461)
Epoch: [10][30/68], lr: 0.01000	Loss 1.3964 (1.4066)	Prec@1 64.062 (62.097)	Prec@5 99.219 (95.691)
Epoch: [10][40/68], lr: 0.01000	Loss 1.4033 (1.4158)	Prec@1 51.562 (61.242)	Prec@5 93.750 (95.427)
Epoch: [10][50/68], lr: 0.01000	Loss 1.3258 (1.4071)	Prec@1 68.750 (61.627)	Prec@5 96.875 (95.512)
Epoch: [10][60/68], lr: 0.01000	Loss 1.3374 (1.4119)	Prec@1 60.938 (61.373)	Prec@5 96.094 (95.441)
Epoch [10] Training Results: Prec@1 61.389 Prec@5 95.555             Loss 1.39885
Epoch [10] Training Class Recall: [0.880,0.657,0.600,0.551,0.146,0.034,0.091,0.007,0.000,0.000]

Epoch: [11][0/68], lr: 0.01000	Loss 1.5640 (1.5640)	Prec@1 61.719 (61.719)	Prec@5 96.094 (96.094)
Epoch: [11][10/68], lr: 0.01000	Loss 1.0759 (1.3210)	Prec@1 64.844 (62.500)	Prec@5 95.312 (96.307)
Epoch: [11][20/68], lr: 0.01000	Loss 1.3452 (1.3543)	Prec@1 70.312 (63.504)	Prec@5 95.312 (96.205)
Epoch: [11][30/68], lr: 0.01000	Loss 1.5629 (1.3631)	Prec@1 53.906 (62.626)	Prec@5 92.188 (95.917)
Epoch: [11][40/68], lr: 0.01000	Loss 1.2897 (1.3706)	Prec@1 66.406 (62.767)	Prec@5 96.094 (96.018)
Epoch: [11][50/68], lr: 0.01000	Loss 1.4688 (1.3707)	Prec@1 58.594 (62.852)	Prec@5 94.531 (96.048)
Epoch: [11][60/68], lr: 0.01000	Loss 1.4664 (1.3813)	Prec@1 64.844 (62.218)	Prec@5 97.656 (95.914)
Epoch [11] Training Results: Prec@1 62.414 Prec@5 95.820             Loss 1.38665
Epoch [11] Training Class Recall: [0.882,0.710,0.594,0.520,0.231,0.067,0.091,0.036,0.000,0.000]

Epoch: [12][0/68], lr: 0.01000	Loss 1.1324 (1.1324)	Prec@1 65.625 (65.625)	Prec@5 100.000 (100.000)
Epoch: [12][10/68], lr: 0.01000	Loss 1.2461 (1.3722)	Prec@1 64.062 (62.784)	Prec@5 96.094 (96.165)
Epoch: [12][20/68], lr: 0.01000	Loss 1.2498 (1.3811)	Prec@1 57.031 (61.570)	Prec@5 95.312 (96.391)
Epoch: [12][30/68], lr: 0.01000	Loss 1.2499 (1.3734)	Prec@1 64.062 (62.097)	Prec@5 96.094 (96.295)
Epoch: [12][40/68], lr: 0.01000	Loss 1.2512 (1.3642)	Prec@1 70.312 (62.538)	Prec@5 98.438 (96.589)
Epoch: [12][50/68], lr: 0.01000	Loss 1.4620 (1.3681)	Prec@1 67.188 (62.990)	Prec@5 94.531 (96.477)
Epoch: [12][60/68], lr: 0.01000	Loss 1.3663 (1.3586)	Prec@1 66.406 (63.128)	Prec@5 96.094 (96.324)
Epoch [12] Training Results: Prec@1 63.657 Prec@5 96.453             Loss 1.35858
Epoch [12] Training Class Recall: [0.893,0.705,0.600,0.508,0.301,0.132,0.112,0.065,0.000,0.000]

Epoch: [13][0/68], lr: 0.01000	Loss 1.5474 (1.5474)	Prec@1 67.969 (67.969)	Prec@5 97.656 (97.656)
Epoch: [13][10/68], lr: 0.01000	Loss 1.6670 (1.4664)	Prec@1 62.500 (64.489)	Prec@5 95.312 (96.449)
Epoch: [13][20/68], lr: 0.01000	Loss 1.3956 (1.4292)	Prec@1 69.531 (65.030)	Prec@5 96.094 (96.615)
Epoch: [13][30/68], lr: 0.01000	Loss 1.2216 (1.4172)	Prec@1 67.188 (64.894)	Prec@5 99.219 (96.598)
Epoch: [13][40/68], lr: 0.01000	Loss 1.3751 (1.3978)	Prec@1 72.656 (65.072)	Prec@5 97.656 (96.684)
Epoch: [13][50/68], lr: 0.01000	Loss 1.0875 (1.4002)	Prec@1 67.188 (65.028)	Prec@5 97.656 (96.737)
Epoch: [13][60/68], lr: 0.01000	Loss 1.4585 (1.3906)	Prec@1 64.844 (65.113)	Prec@5 95.312 (96.734)
Epoch [13] Training Results: Prec@1 65.281 Prec@5 96.661             Loss 1.37696
Epoch [13] Training Class Recall: [0.891,0.717,0.633,0.576,0.302,0.083,0.194,0.086,0.000,0.000]

Epoch: [14][0/68], lr: 0.01000	Loss 1.2957 (1.2957)	Prec@1 67.969 (67.969)	Prec@5 92.969 (92.969)
Epoch: [14][10/68], lr: 0.01000	Loss 1.3219 (1.2946)	Prec@1 69.531 (66.832)	Prec@5 96.875 (95.952)
Epoch: [14][20/68], lr: 0.01000	Loss 1.1143 (1.3287)	Prec@1 71.875 (66.369)	Prec@5 99.219 (96.354)
Epoch: [14][30/68], lr: 0.01000	Loss 1.0738 (1.3298)	Prec@1 68.750 (66.053)	Prec@5 96.875 (96.169)
Epoch: [14][40/68], lr: 0.01000	Loss 1.0969 (1.3387)	Prec@1 65.625 (65.625)	Prec@5 96.094 (96.056)
Epoch: [14][50/68], lr: 0.01000	Loss 1.4383 (1.3503)	Prec@1 68.750 (65.947)	Prec@5 95.312 (96.124)
Epoch: [14][60/68], lr: 0.01000	Loss 1.4937 (1.3521)	Prec@1 64.062 (65.920)	Prec@5 96.094 (96.209)
Epoch [14] Training Results: Prec@1 66.179 Prec@5 96.327             Loss 1.35214
Epoch [14] Training Class Recall: [0.895,0.746,0.645,0.537,0.374,0.093,0.181,0.129,0.000,0.000]

Epoch: [15][0/68], lr: 0.01000	Loss 1.0799 (1.0799)	Prec@1 67.188 (67.188)	Prec@5 95.312 (95.312)
Epoch: [15][10/68], lr: 0.01000	Loss 1.3671 (1.2218)	Prec@1 64.844 (66.051)	Prec@5 96.094 (96.591)
Epoch: [15][20/68], lr: 0.01000	Loss 1.5345 (1.3053)	Prec@1 59.375 (64.955)	Prec@5 94.531 (96.205)
Epoch: [15][30/68], lr: 0.01000	Loss 1.5245 (1.3124)	Prec@1 63.281 (65.575)	Prec@5 95.312 (96.421)
Epoch: [15][40/68], lr: 0.01000	Loss 1.2817 (1.3050)	Prec@1 68.750 (66.406)	Prec@5 96.094 (96.570)
Epoch: [15][50/68], lr: 0.01000	Loss 1.3517 (1.3016)	Prec@1 64.844 (66.958)	Prec@5 96.875 (96.706)
Epoch: [15][60/68], lr: 0.01000	Loss 1.3208 (1.3007)	Prec@1 68.750 (67.418)	Prec@5 96.875 (96.760)
Epoch [15] Training Results: Prec@1 67.596 Prec@5 96.776             Loss 1.29690
Epoch [15] Training Class Recall: [0.910,0.749,0.666,0.530,0.397,0.129,0.237,0.129,0.000,0.000]

Epoch: [16][0/68], lr: 0.01000	Loss 1.4533 (1.4533)	Prec@1 71.875 (71.875)	Prec@5 96.875 (96.875)
Epoch: [16][10/68], lr: 0.01000	Loss 1.4745 (1.3193)	Prec@1 64.844 (67.188)	Prec@5 96.094 (96.591)
Epoch: [16][20/68], lr: 0.01000	Loss 1.3850 (1.2719)	Prec@1 66.406 (66.853)	Prec@5 98.438 (96.801)
Epoch: [16][30/68], lr: 0.01000	Loss 1.4212 (1.2760)	Prec@1 72.656 (67.616)	Prec@5 97.656 (96.799)
Epoch: [16][40/68], lr: 0.01000	Loss 1.3968 (1.3038)	Prec@1 70.312 (67.397)	Prec@5 98.438 (96.970)
Epoch: [16][50/68], lr: 0.01000	Loss 1.4909 (1.2957)	Prec@1 60.156 (67.387)	Prec@5 94.531 (97.044)
Epoch: [16][60/68], lr: 0.01000	Loss 0.8990 (1.2722)	Prec@1 68.750 (67.930)	Prec@5 98.438 (96.913)
Epoch [16] Training Results: Prec@1 67.826 Prec@5 96.925             Loss 1.26625
