Epoch: [0][0/68], lr: 0.00200	Loss 3.1352 (3.1352)	Prec@1 4.688 (4.688)	Prec@5 19.531 (19.531)
Epoch: [0][10/68], lr: 0.00200	Loss 1.9872 (2.0692)	Prec@1 32.812 (34.872)	Prec@5 94.531 (84.375)
Epoch: [0][20/68], lr: 0.00200	Loss 1.4649 (1.9590)	Prec@1 48.438 (37.835)	Prec@5 95.312 (87.984)
Epoch: [0][30/68], lr: 0.00200	Loss 1.6355 (1.8630)	Prec@1 39.062 (39.264)	Prec@5 93.750 (89.743)
Epoch: [0][40/68], lr: 0.00200	Loss 1.5306 (1.7906)	Prec@1 55.469 (41.482)	Prec@5 90.625 (90.358)
Epoch: [0][50/68], lr: 0.00200	Loss 1.7080 (1.7451)	Prec@1 48.438 (42.907)	Prec@5 89.062 (90.671)
Epoch: [0][60/68], lr: 0.00200	Loss 1.4623 (1.7099)	Prec@1 57.812 (44.787)	Prec@5 93.750 (90.945)
Epoch [0] Training Results: Prec@1 45.106 Prec@5 91.145             Loss 1.68924
Epoch [0] Training Class Recall: [0.734,0.467,0.262,0.011,0.047,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/68], lr: 0.00400	Loss 1.3962 (1.3962)	Prec@1 45.312 (45.312)	Prec@5 95.312 (95.312)
Epoch: [1][10/68], lr: 0.00400	Loss 1.3317 (1.4526)	Prec@1 45.312 (51.847)	Prec@5 95.312 (92.472)
Epoch: [1][20/68], lr: 0.00400	Loss 1.2542 (1.4418)	Prec@1 61.719 (52.604)	Prec@5 94.531 (92.969)
Epoch: [1][30/68], lr: 0.00400	Loss 1.2756 (1.4656)	Prec@1 52.344 (52.419)	Prec@5 93.750 (93.221)
Epoch: [1][40/68], lr: 0.00400	Loss 1.4062 (1.4921)	Prec@1 54.688 (51.772)	Prec@5 95.312 (93.197)
Epoch: [1][50/68], lr: 0.00400	Loss 1.4367 (1.4876)	Prec@1 56.250 (52.834)	Prec@5 94.531 (93.229)
Epoch: [1][60/68], lr: 0.00400	Loss 1.4191 (1.4733)	Prec@1 61.719 (53.676)	Prec@5 96.094 (93.583)
Epoch [1] Training Results: Prec@1 54.341 Prec@5 93.701             Loss 1.45879
Epoch [1] Training Class Recall: [0.757,0.679,0.427,0.099,0.051,0.008,0.000,0.000,0.000,0.000]

Epoch: [2][0/68], lr: 0.00600	Loss 1.5383 (1.5383)	Prec@1 53.125 (53.125)	Prec@5 93.750 (93.750)
Epoch: [2][10/68], lr: 0.00600	Loss 1.6523 (1.4673)	Prec@1 48.438 (55.824)	Prec@5 92.188 (93.111)
Epoch: [2][20/68], lr: 0.00600	Loss 1.4649 (1.4261)	Prec@1 57.812 (56.659)	Prec@5 93.750 (93.527)
Epoch: [2][30/68], lr: 0.00600	Loss 1.3873 (1.4104)	Prec@1 59.375 (57.485)	Prec@5 95.312 (93.952)
Epoch: [2][40/68], lr: 0.00600	Loss 1.2574 (1.3827)	Prec@1 61.719 (58.327)	Prec@5 95.312 (94.169)
Epoch: [2][50/68], lr: 0.00600	Loss 1.4478 (1.3798)	Prec@1 64.062 (58.839)	Prec@5 95.312 (94.194)
Epoch: [2][60/68], lr: 0.00600	Loss 1.4443 (1.3695)	Prec@1 55.469 (59.170)	Prec@5 91.406 (94.070)
Epoch [2] Training Results: Prec@1 59.523 Prec@5 94.208             Loss 1.37022
Epoch [2] Training Class Recall: [0.818,0.745,0.490,0.150,0.011,0.000,0.000,0.000,0.000,0.000]

Epoch: [3][0/68], lr: 0.00800	Loss 1.3097 (1.3097)	Prec@1 71.094 (71.094)	Prec@5 94.531 (94.531)
Epoch: [3][10/68], lr: 0.00800	Loss 1.3428 (1.4049)	Prec@1 59.375 (59.943)	Prec@5 96.094 (94.389)
Epoch: [3][20/68], lr: 0.00800	Loss 1.3560 (1.4182)	Prec@1 65.625 (59.524)	Prec@5 93.750 (94.159)
Epoch: [3][30/68], lr: 0.00800	Loss 1.0349 (1.3794)	Prec@1 65.625 (60.106)	Prec@5 96.875 (94.178)
Epoch: [3][40/68], lr: 0.00800	Loss 1.1793 (1.3722)	Prec@1 62.500 (60.575)	Prec@5 94.531 (94.398)
Epoch: [3][50/68], lr: 0.00800	Loss 1.3810 (1.3573)	Prec@1 60.156 (61.106)	Prec@5 96.094 (94.301)
Epoch: [3][60/68], lr: 0.00800	Loss 1.5029 (1.3653)	Prec@1 60.156 (61.053)	Prec@5 94.531 (94.326)
Epoch [3] Training Results: Prec@1 61.400 Prec@5 94.403             Loss 1.36688
Epoch [3] Training Class Recall: [0.833,0.770,0.467,0.268,0.000,0.000,0.000,0.000,0.000,0.000]

Epoch: [4][0/68], lr: 0.01000	Loss 1.1313 (1.1313)	Prec@1 67.188 (67.188)	Prec@5 96.094 (96.094)
Epoch: [4][10/68], lr: 0.01000	Loss 1.1821 (1.2615)	Prec@1 66.406 (65.838)	Prec@5 96.875 (94.886)
Epoch: [4][20/68], lr: 0.01000	Loss 1.4927 (1.2419)	Prec@1 59.375 (65.439)	Prec@5 96.094 (95.052)
Epoch: [4][30/68], lr: 0.01000	Loss 1.5964 (1.2522)	Prec@1 57.812 (64.945)	Prec@5 94.531 (95.338)
Epoch: [4][40/68], lr: 0.01000	Loss 1.3807 (1.2849)	Prec@1 67.969 (64.596)	Prec@5 93.750 (94.874)
Epoch: [4][50/68], lr: 0.01000	Loss 1.1314 (1.2844)	Prec@1 60.938 (64.706)	Prec@5 94.531 (94.776)
Epoch: [4][60/68], lr: 0.01000	Loss 1.4262 (1.2836)	Prec@1 65.625 (64.741)	Prec@5 96.094 (94.762)
Epoch [4] Training Results: Prec@1 64.337 Prec@5 94.887             Loss 1.28088
Epoch [4] Training Class Recall: [0.854,0.789,0.504,0.394,0.000,0.000,0.000,0.000,0.000,0.000]

Epoch: [5][0/68], lr: 0.01000	Loss 1.2550 (1.2550)	Prec@1 64.844 (64.844)	Prec@5 96.094 (96.094)
Epoch: [5][10/68], lr: 0.01000	Loss 1.3621 (1.2584)	Prec@1 64.062 (66.122)	Prec@5 94.531 (95.668)
Epoch: [5][20/68], lr: 0.01000	Loss 1.4381 (1.3282)	Prec@1 62.500 (65.253)	Prec@5 97.656 (95.164)
Epoch: [5][30/68], lr: 0.01000	Loss 0.9885 (1.3029)	Prec@1 69.531 (64.995)	Prec@5 97.656 (95.413)
Epoch: [5][40/68], lr: 0.01000	Loss 1.4339 (1.3061)	Prec@1 64.062 (65.168)	Prec@5 95.312 (95.389)
Epoch: [5][50/68], lr: 0.01000	Loss 1.3395 (1.3239)	Prec@1 60.156 (64.844)	Prec@5 93.750 (94.975)
Epoch: [5][60/68], lr: 0.01000	Loss 1.1577 (1.3054)	Prec@1 68.750 (65.459)	Prec@5 92.969 (95.031)
Epoch [5] Training Results: Prec@1 65.661 Prec@5 95.083             Loss 1.30588
Epoch [5] Training Class Recall: [0.870,0.824,0.492,0.386,0.016,0.000,0.000,0.000,0.000,0.000]

Epoch: [6][0/68], lr: 0.01000	Loss 1.4746 (1.4746)	Prec@1 62.500 (62.500)	Prec@5 94.531 (94.531)
Epoch: [6][10/68], lr: 0.01000	Loss 1.2136 (1.3245)	Prec@1 66.406 (68.182)	Prec@5 97.656 (95.668)
Epoch: [6][20/68], lr: 0.01000	Loss 1.0810 (1.2981)	Prec@1 63.281 (67.708)	Prec@5 96.094 (95.201)
Epoch: [6][30/68], lr: 0.01000	Loss 1.4701 (1.3022)	Prec@1 62.500 (67.137)	Prec@5 96.094 (95.186)
Epoch: [6][40/68], lr: 0.01000	Loss 1.2736 (1.2957)	Prec@1 73.438 (67.283)	Prec@5 96.875 (95.389)
Epoch: [6][50/68], lr: 0.01000	Loss 1.4307 (1.3059)	Prec@1 57.812 (66.820)	Prec@5 96.094 (95.420)
Epoch: [6][60/68], lr: 0.01000	Loss 1.2917 (1.3002)	Prec@1 66.406 (66.688)	Prec@5 96.875 (95.377)
Epoch [6] Training Results: Prec@1 66.582 Prec@5 95.486             Loss 1.29895
Epoch [6] Training Class Recall: [0.886,0.823,0.489,0.424,0.016,0.000,0.000,0.000,0.000,0.000]

Epoch: [7][0/68], lr: 0.01000	Loss 1.3908 (1.3908)	Prec@1 71.875 (71.875)	Prec@5 96.094 (96.094)
Epoch: [7][10/68], lr: 0.01000	Loss 1.1612 (1.2182)	Prec@1 64.062 (67.116)	Prec@5 96.875 (95.668)
Epoch: [7][20/68], lr: 0.01000	Loss 1.3937 (1.2352)	Prec@1 71.094 (68.006)	Prec@5 95.312 (95.871)
Epoch: [7][30/68], lr: 0.01000	Loss 1.2348 (1.2265)	Prec@1 74.219 (68.775)	Prec@5 96.875 (95.943)
Epoch: [7][40/68], lr: 0.01000	Loss 1.4792 (1.2359)	Prec@1 64.844 (68.521)	Prec@5 94.531 (95.960)
