Epoch: [0][0/68], lr: 0.00200	Loss 2.8511 (2.8511)	Prec@1 9.375 (9.375)	Prec@5 38.281 (38.281)
Epoch: [0][10/68], lr: 0.00200	Loss 1.8916 (2.2527)	Prec@1 41.406 (30.966)	Prec@5 85.156 (79.830)
Epoch: [0][20/68], lr: 0.00200	Loss 1.7440 (2.0513)	Prec@1 44.531 (34.598)	Prec@5 83.594 (83.371)
Epoch: [0][30/68], lr: 0.00200	Loss 1.3568 (1.9084)	Prec@1 55.469 (38.609)	Prec@5 91.406 (85.081)
Epoch: [0][40/68], lr: 0.00200	Loss 1.4153 (1.8304)	Prec@1 49.219 (39.787)	Prec@5 92.188 (86.509)
Epoch: [0][50/68], lr: 0.00200	Loss 1.3536 (1.7646)	Prec@1 56.250 (41.513)	Prec@5 92.969 (87.515)
Epoch: [0][60/68], lr: 0.00200	Loss 1.3968 (1.7147)	Prec@1 53.906 (42.597)	Prec@5 92.969 (88.461)
Epoch [0] Training Results: Prec@1 43.402 Prec@5 89.014             Loss 1.67990
Epoch [0] Training Class Recall: [0.746,0.205,0.531,0.139,0.054,0.000,0.000,0.000,0.000,0.000]

Epoch: [1][0/68], lr: 0.00400	Loss 1.4679 (1.4679)	Prec@1 41.406 (41.406)	Prec@5 94.531 (94.531)
Epoch: [1][10/68], lr: 0.00400	Loss 1.3014 (1.5114)	Prec@1 52.344 (46.378)	Prec@5 92.969 (92.472)
Epoch: [1][20/68], lr: 0.00400	Loss 1.2720 (1.4787)	Prec@1 53.125 (48.326)	Prec@5 96.094 (92.522)
Epoch: [1][30/68], lr: 0.00400	Loss 1.4255 (1.4455)	Prec@1 48.438 (49.521)	Prec@5 92.969 (92.692)
Epoch: [1][40/68], lr: 0.00400	Loss 1.6401 (1.4492)	Prec@1 44.531 (49.238)	Prec@5 91.406 (92.473)
Epoch: [1][50/68], lr: 0.00400	Loss 1.0785 (1.4361)	Prec@1 62.500 (49.280)	Prec@5 96.875 (92.831)
Epoch: [1][60/68], lr: 0.00400	Loss 1.3497 (1.4441)	Prec@1 49.219 (49.039)	Prec@5 96.094 (92.815)
Epoch [1] Training Results: Prec@1 49.275 Prec@5 93.033             Loss 1.43618
Epoch [1] Training Class Recall: [0.767,0.486,0.494,0.332,0.060,0.013,0.004,0.000,0.000,0.000]

Epoch: [2][0/68], lr: 0.00600	Loss 1.4269 (1.4269)	Prec@1 51.562 (51.562)	Prec@5 95.312 (95.312)
Epoch: [2][10/68], lr: 0.00600	Loss 1.4991 (1.4987)	Prec@1 50.000 (49.787)	Prec@5 93.750 (91.974)
Epoch: [2][20/68], lr: 0.00600	Loss 1.3182 (1.4447)	Prec@1 53.125 (49.926)	Prec@5 92.969 (92.857)
Epoch: [2][30/68], lr: 0.00600	Loss 1.3524 (1.4182)	Prec@1 51.562 (50.076)	Prec@5 92.969 (93.145)
Epoch: [2][40/68], lr: 0.00600	Loss 1.2943 (1.4023)	Prec@1 49.219 (50.248)	Prec@5 92.969 (93.464)
Epoch: [2][50/68], lr: 0.00600	Loss 1.2470 (1.3982)	Prec@1 57.031 (50.169)	Prec@5 94.531 (93.566)
Epoch: [2][60/68], lr: 0.00600	Loss 1.1404 (1.3701)	Prec@1 65.625 (51.447)	Prec@5 96.094 (93.891)
