Epoch: [0][0/68], lr: 0.00200	Loss 14.2522 (14.2522)	Prec@1 1.562 (1.562)	Prec@5 33.594 (33.594)
Epoch: [0][10/68], lr: 0.00200	Loss 7.3035 (8.9470)	Prec@1 43.750 (34.943)	Prec@5 86.719 (82.102)
Epoch: [0][20/68], lr: 0.00200	Loss 5.5765 (7.9270)	Prec@1 57.812 (43.080)	Prec@5 96.094 (86.607)
Epoch: [0][30/68], lr: 0.00200	Loss 5.7131 (7.3976)	Prec@1 57.031 (47.228)	Prec@5 91.406 (88.659)
Epoch: [0][40/68], lr: 0.00200	Loss 7.1722 (7.0783)	Prec@1 55.469 (49.905)	Prec@5 89.844 (89.444)
Epoch: [0][50/68], lr: 0.00200	Loss 6.2254 (6.8919)	Prec@1 57.031 (51.210)	Prec@5 90.625 (90.165)
Epoch: [0][60/68], lr: 0.00200	Loss 5.8714 (6.7433)	Prec@1 55.469 (52.280)	Prec@5 89.062 (90.343)
Epoch [0] Training Results: Prec@1 52.821 Prec@5 90.719             Loss 6.66164
Epoch [0] Training Class Recall: [0.717,0.696,0.376,0.137,0.069,0.008,0.000,0.020,0.000,0.000]

Epoch: [1][0/68], lr: 0.00400	Loss 5.8325 (5.8325)	Prec@1 54.688 (54.688)	Prec@5 94.531 (94.531)
Epoch: [1][10/68], lr: 0.00400	Loss 5.2837 (5.8201)	Prec@1 60.938 (58.949)	Prec@5 98.438 (93.679)
Epoch: [1][20/68], lr: 0.00400	Loss 6.1909 (5.7856)	Prec@1 53.125 (58.891)	Prec@5 91.406 (93.862)
Epoch: [1][30/68], lr: 0.00400	Loss 6.5259 (5.8250)	Prec@1 57.812 (58.745)	Prec@5 91.406 (93.775)
Epoch: [1][40/68], lr: 0.00400	Loss 5.7264 (5.7114)	Prec@1 56.250 (59.661)	Prec@5 94.531 (93.864)
Epoch: [1][50/68], lr: 0.00400	Loss 5.6647 (5.7780)	Prec@1 57.031 (58.747)	Prec@5 92.969 (93.199)
Epoch: [1][60/68], lr: 0.00400	Loss 6.4023 (5.7219)	Prec@1 62.500 (59.298)	Prec@5 91.406 (93.161)
Epoch [1] Training Results: Prec@1 59.569 Prec@5 93.217             Loss 5.67036
Epoch [1] Training Class Recall: [0.789,0.789,0.470,0.158,0.060,0.035,0.019,0.000,0.000,0.000]

Epoch: [2][0/68], lr: 0.00600	Loss 5.3261 (5.3261)	Prec@1 60.938 (60.938)	Prec@5 92.188 (92.188)
Epoch: [2][10/68], lr: 0.00600	Loss 5.1969 (5.3927)	Prec@1 57.812 (61.222)	Prec@5 96.094 (93.750)
Epoch: [2][20/68], lr: 0.00600	Loss 5.1996 (5.1519)	Prec@1 63.281 (63.430)	Prec@5 94.531 (94.680)
Epoch: [2][30/68], lr: 0.00600	Loss 5.4848 (5.2222)	Prec@1 60.156 (62.349)	Prec@5 87.500 (94.178)
Epoch: [2][40/68], lr: 0.00600	Loss 4.7172 (5.1772)	Prec@1 67.969 (62.614)	Prec@5 96.094 (94.093)
Epoch: [2][50/68], lr: 0.00600	Loss 5.0145 (5.1663)	Prec@1 60.938 (62.653)	Prec@5 92.188 (94.102)
Epoch: [2][60/68], lr: 0.00600	Loss 4.9569 (5.1205)	Prec@1 66.406 (63.102)	Prec@5 93.750 (94.198)
Epoch [2] Training Results: Prec@1 63.519 Prec@5 94.196             Loss 5.08059
Epoch [2] Training Class Recall: [0.825,0.829,0.509,0.290,0.022,0.031,0.006,0.000,0.000,0.000]

Epoch: [3][0/68], lr: 0.00800	Loss 4.2715 (4.2715)	Prec@1 70.312 (70.312)	Prec@5 92.969 (92.969)
Epoch: [3][10/68], lr: 0.00800	Loss 5.4469 (4.9236)	Prec@1 58.594 (65.057)	Prec@5 89.844 (93.679)
Epoch: [3][20/68], lr: 0.00800	Loss 5.2846 (5.2953)	Prec@1 59.375 (62.723)	Prec@5 96.094 (92.857)
Epoch: [3][30/68], lr: 0.00800	Loss 4.4319 (5.2107)	Prec@1 64.062 (62.576)	Prec@5 94.531 (93.070)
Epoch: [3][40/68], lr: 0.00800	Loss 4.5725 (5.1044)	Prec@1 65.625 (63.338)	Prec@5 95.312 (93.483)
Epoch: [3][50/68], lr: 0.00800	Loss 4.9949 (5.0626)	Prec@1 64.844 (63.680)	Prec@5 90.625 (93.581)
Epoch: [3][60/68], lr: 0.00800	Loss 4.0465 (4.9827)	Prec@1 66.406 (64.101)	Prec@5 96.094 (93.788)
Epoch [3] Training Results: Prec@1 64.532 Prec@5 93.966             Loss 4.92071
Epoch [3] Training Class Recall: [0.840,0.838,0.494,0.339,0.036,0.000,0.013,0.000,0.000,0.000]

Epoch: [4][0/68], lr: 0.01000	Loss 4.2034 (4.2034)	Prec@1 70.312 (70.312)	Prec@5 96.875 (96.875)
Epoch: [4][10/68], lr: 0.01000	Loss 3.6625 (4.5690)	Prec@1 76.562 (69.034)	Prec@5 95.312 (94.460)
Epoch: [4][20/68], lr: 0.01000	Loss 4.4326 (4.6398)	Prec@1 71.875 (68.192)	Prec@5 94.531 (94.866)
Epoch: [4][30/68], lr: 0.01000	Loss 5.3872 (4.6317)	Prec@1 60.156 (67.742)	Prec@5 92.969 (94.582)
Epoch: [4][40/68], lr: 0.01000	Loss 3.6418 (4.5984)	Prec@1 73.438 (67.683)	Prec@5 99.219 (94.646)
Epoch: [4][50/68], lr: 0.01000	Loss 3.6706 (4.5899)	Prec@1 74.219 (67.616)	Prec@5 94.531 (94.700)
Epoch: [4][60/68], lr: 0.01000	Loss 4.7229 (4.6277)	Prec@1 65.625 (67.175)	Prec@5 99.219 (94.711)
Epoch [4] Training Results: Prec@1 67.204 Prec@5 94.737             Loss 4.62855
Epoch [4] Training Class Recall: [0.858,0.879,0.522,0.376,0.071,0.016,0.006,0.010,0.000,0.000]

Epoch: [5][0/68], lr: 0.01000	Loss 4.7613 (4.7613)	Prec@1 64.844 (64.844)	Prec@5 92.969 (92.969)
Epoch: [5][10/68], lr: 0.01000	Loss 4.5166 (4.6725)	Prec@1 68.750 (67.898)	Prec@5 93.750 (94.602)
Epoch: [5][20/68], lr: 0.01000	Loss 4.4542 (4.4957)	Prec@1 64.844 (68.787)	Prec@5 94.531 (94.978)
Epoch: [5][30/68], lr: 0.01000	Loss 4.5557 (4.4007)	Prec@1 68.750 (69.405)	Prec@5 96.094 (95.363)
Epoch: [5][40/68], lr: 0.01000	Loss 4.6910 (4.3877)	Prec@1 64.062 (69.493)	Prec@5 96.875 (95.465)
Epoch: [5][50/68], lr: 0.01000	Loss 3.5628 (4.3358)	Prec@1 73.438 (69.945)	Prec@5 100.000 (95.757)
Epoch: [5][60/68], lr: 0.01000	Loss 4.0315 (4.3472)	Prec@1 69.531 (69.749)	Prec@5 95.312 (95.710)
Epoch [5] Training Results: Prec@1 69.737 Prec@5 95.797             Loss 4.34856
Epoch [5] Training Class Recall: [0.888,0.897,0.535,0.442,0.092,0.000,0.025,0.039,0.000,0.000]

Epoch: [6][0/68], lr: 0.01000	Loss 4.1482 (4.1482)	Prec@1 68.750 (68.750)	Prec@5 100.000 (100.000)
Epoch: [6][10/68], lr: 0.01000	Loss 3.5064 (3.8820)	Prec@1 75.781 (71.946)	Prec@5 96.875 (96.449)
Epoch: [6][20/68], lr: 0.01000	Loss 5.2065 (4.1031)	Prec@1 64.062 (70.982)	Prec@5 95.312 (95.982)
Epoch: [6][30/68], lr: 0.01000	Loss 3.3027 (4.0843)	Prec@1 78.125 (71.346)	Prec@5 98.438 (95.993)
Epoch: [6][40/68], lr: 0.01000	Loss 4.1873 (4.0236)	Prec@1 75.781 (71.894)	Prec@5 94.531 (96.094)
Epoch: [6][50/68], lr: 0.01000	Loss 4.3144 (4.0891)	Prec@1 64.844 (71.553)	Prec@5 96.094 (95.925)
Epoch: [6][60/68], lr: 0.01000	Loss 4.4800 (4.1074)	Prec@1 66.406 (71.363)	Prec@5 93.750 (96.004)
Epoch [6] Training Results: Prec@1 71.430 Prec@5 96.027             Loss 4.12663
Epoch [6] Training Class Recall: [0.896,0.914,0.569,0.505,0.078,0.012,0.019,0.000,0.000,0.000]

Epoch: [7][0/68], lr: 0.01000	Loss 3.5527 (3.5527)	Prec@1 75.781 (75.781)	Prec@5 98.438 (98.438)
Epoch: [7][10/68], lr: 0.01000	Loss 3.6441 (3.8848)	Prec@1 77.344 (72.940)	Prec@5 97.656 (97.585)
Epoch: [7][20/68], lr: 0.01000	Loss 3.9739 (3.9252)	Prec@1 72.656 (72.619)	Prec@5 96.875 (97.284)
Epoch: [7][30/68], lr: 0.01000	Loss 3.3852 (3.8749)	Prec@1 78.125 (73.009)	Prec@5 97.656 (97.051)
