Epoch: [0][0/68], lr: 0.00200	Loss 0.5026 (0.5026)	Prec@1 9.375 (9.375)	Prec@5 38.281 (38.281)
Epoch: [0][10/68], lr: 0.00200	Loss 0.6224 (0.5492)	Prec@1 7.812 (6.605)	Prec@5 51.562 (42.685)
Epoch: [0][20/68], lr: 0.00200	Loss 0.5997 (0.5340)	Prec@1 3.125 (6.213)	Prec@5 40.625 (44.494)
Epoch: [0][30/68], lr: 0.00200	Loss 0.4389 (0.5238)	Prec@1 2.344 (6.880)	Prec@5 72.656 (48.286)
Epoch: [0][40/68], lr: 0.00200	Loss 0.4222 (0.5185)	Prec@1 27.344 (7.489)	Prec@5 71.094 (52.477)
Epoch: [0][50/68], lr: 0.00200	Loss 0.4809 (0.5189)	Prec@1 1.562 (8.824)	Prec@5 71.875 (55.316)
Epoch: [0][60/68], lr: 0.00200	Loss 0.5414 (0.5089)	Prec@1 34.375 (9.990)	Prec@5 80.469 (58.402)
Epoch [0] Training Results: Prec@1 11.492 Prec@5 60.491             Loss 0.49609
Epoch [0] Training Class Recall: [0.123,0.001,0.105,0.099,0.301,0.093,0.121,0.151,0.157,0.240]

Epoch: [1][0/68], lr: 0.00400	Loss 0.3523 (0.3523)	Prec@1 30.469 (30.469)	Prec@5 79.688 (79.688)
Epoch: [1][10/68], lr: 0.00400	Loss 0.4786 (0.4880)	Prec@1 4.688 (15.909)	Prec@5 71.094 (73.366)
Epoch: [1][20/68], lr: 0.00400	Loss 0.4366 (0.4701)	Prec@1 5.469 (15.141)	Prec@5 74.219 (76.079)
Epoch: [1][30/68], lr: 0.00400	Loss 0.5837 (0.4709)	Prec@1 17.188 (16.003)	Prec@5 60.156 (76.487)
Epoch: [1][40/68], lr: 0.00400	Loss 0.4517 (0.4821)	Prec@1 5.469 (14.729)	Prec@5 70.312 (75.591)
Epoch: [1][50/68], lr: 0.00400	Loss 0.4286 (0.4769)	Prec@1 20.312 (16.988)	Prec@5 79.688 (76.547)
Epoch: [1][60/68], lr: 0.00400	Loss 0.4764 (0.4751)	Prec@1 14.062 (16.214)	Prec@5 67.188 (75.820)
Epoch [1] Training Results: Prec@1 17.573 Prec@5 75.944             Loss 0.47268
Epoch [1] Training Class Recall: [0.293,0.006,0.099,0.076,0.160,0.173,0.297,0.216,0.313,0.320]

Epoch: [2][0/68], lr: 0.00600	Loss 0.4359 (0.4359)	Prec@1 33.594 (33.594)	Prec@5 80.469 (80.469)
Epoch: [2][10/68], lr: 0.00600	Loss 0.5232 (0.4741)	Prec@1 21.875 (15.341)	Prec@5 75.000 (77.628)
Epoch: [2][20/68], lr: 0.00600	Loss 0.4260 (0.4545)	Prec@1 28.125 (17.411)	Prec@5 85.938 (78.051)
Epoch: [2][30/68], lr: 0.00600	Loss 0.5068 (0.4543)	Prec@1 10.938 (16.961)	Prec@5 81.250 (78.654)
Epoch: [2][40/68], lr: 0.00600	Loss 0.3925 (0.4589)	Prec@1 22.656 (18.293)	Prec@5 86.719 (80.259)
Epoch: [2][50/68], lr: 0.00600	Loss 0.3897 (0.4598)	Prec@1 4.688 (17.142)	Prec@5 67.969 (80.070)
Epoch: [2][60/68], lr: 0.00600	Loss 0.3958 (0.4523)	Prec@1 19.531 (19.288)	Prec@5 84.375 (80.353)
