Epoch: [0][0/40], lr: 0.00200	Loss 3.0497 (3.0497)	Prec@1 4.688 (4.688)	Prec@5 39.844 (39.844)
Epoch: [0][10/40], lr: 0.00200	Loss 2.2805 (2.5513)	Prec@1 23.438 (17.756)	Prec@5 68.750 (60.866)
Epoch: [0][20/40], lr: 0.00200	Loss 2.1156 (2.3582)	Prec@1 30.469 (22.619)	Prec@5 75.781 (65.774)
Epoch: [0][30/40], lr: 0.00200	Loss 1.8771 (2.2040)	Prec@1 35.938 (27.470)	Prec@5 82.812 (70.338)
Epoch [0] Training Results: Prec@1 29.560 Prec@5 72.780             Loss 2.13164
Epoch [0] Training Class Recall: [0.674,0.004,0.000,0.016,0.079,0.396,0.469,0.134,0.203,0.276]

Epoch: [1][0/40], lr: 0.00400	Loss 1.9012 (1.9012)	Prec@1 32.812 (32.812)	Prec@5 77.344 (77.344)
Epoch: [1][10/40], lr: 0.00400	Loss 1.9490 (2.0883)	Prec@1 47.656 (33.665)	Prec@5 69.531 (75.284)
Epoch: [1][20/40], lr: 0.00400	Loss 1.7031 (1.9649)	Prec@1 46.094 (37.723)	Prec@5 83.594 (78.943)
Epoch: [1][30/40], lr: 0.00400	Loss 1.7766 (1.8907)	Prec@1 42.969 (40.776)	Prec@5 80.469 (80.066)
Epoch [1] Training Results: Prec@1 42.880 Prec@5 80.780             Loss 1.84379
Epoch [1] Training Class Recall: [0.731,0.049,0.016,0.098,0.066,0.485,0.590,0.307,0.594,0.524]

Epoch: [2][0/40], lr: 0.00600	Loss 1.9366 (1.9366)	Prec@1 28.125 (28.125)	Prec@5 82.031 (82.031)
Epoch: [2][10/40], lr: 0.00600	Loss 1.8941 (1.9068)	Prec@1 40.625 (40.767)	Prec@5 78.125 (81.463)
Epoch: [2][20/40], lr: 0.00600	Loss 1.6291 (1.8229)	Prec@1 54.688 (44.531)	Prec@5 83.594 (81.622)
Epoch: [2][30/40], lr: 0.00600	Loss 1.5355 (1.7452)	Prec@1 57.031 (47.354)	Prec@5 83.594 (82.334)
Epoch [2] Training Results: Prec@1 48.500 Prec@5 82.800             Loss 1.71352
Epoch [2] Training Class Recall: [0.755,0.091,0.000,0.132,0.042,0.578,0.592,0.455,0.607,0.684]

Epoch: [3][0/40], lr: 0.00800	Loss 1.6927 (1.6927)	Prec@1 47.656 (47.656)	Prec@5 83.594 (83.594)
Epoch: [3][10/40], lr: 0.00800	Loss 1.6024 (1.6819)	Prec@1 53.125 (49.290)	Prec@5 83.594 (83.523)
Epoch: [3][20/40], lr: 0.00800	Loss 1.4614 (1.6860)	Prec@1 57.812 (48.363)	Prec@5 87.500 (84.189)
