Epoch: [0][0/40], lr: 0.00200	Loss 2.9719 (2.9719)	Prec@1 7.031 (7.031)	Prec@5 37.500 (37.500)
Epoch: [0][10/40], lr: 0.00200	Loss 2.4356 (2.4758)	Prec@1 20.312 (18.395)	Prec@5 53.125 (58.594)
Epoch: [0][20/40], lr: 0.00200	Loss 1.9462 (2.3295)	Prec@1 38.281 (21.615)	Prec@5 64.844 (61.310)
Epoch: [0][30/40], lr: 0.00200	Loss 1.8490 (2.1946)	Prec@1 32.812 (25.353)	Prec@5 80.469 (64.642)
Epoch [0] Training Results: Prec@1 27.440 Prec@5 66.520             Loss 2.13213
Epoch [0] Training Class Recall: [0.758,0.091,0.039,0.123,0.144,0.231,0.050,0.115,0.100,0.194]

Epoch: [1][0/40], lr: 0.00400	Loss 1.6362 (1.6362)	Prec@1 46.875 (46.875)	Prec@5 82.031 (82.031)
Epoch: [1][10/40], lr: 0.00400	Loss 1.7361 (1.9293)	Prec@1 42.188 (36.790)	Prec@5 75.000 (74.361)
Epoch: [1][20/40], lr: 0.00400	Loss 1.9666 (1.9045)	Prec@1 38.281 (36.719)	Prec@5 75.781 (75.707)
Epoch: [1][30/40], lr: 0.00400	Loss 1.8540 (1.9024)	Prec@1 32.031 (36.164)	Prec@5 78.906 (76.537)
Epoch [1] Training Results: Prec@1 35.980 Prec@5 77.600             Loss 1.88548
Epoch [1] Training Class Recall: [0.830,0.190,0.063,0.262,0.121,0.444,0.189,0.155,0.188,0.246]

Epoch: [2][0/40], lr: 0.00600	Loss 2.2205 (2.2205)	Prec@1 20.312 (20.312)	Prec@5 78.906 (78.906)
Epoch: [2][10/40], lr: 0.00600	Loss 1.9752 (2.0879)	Prec@1 26.562 (29.048)	Prec@5 76.562 (73.793)
Epoch: [2][20/40], lr: 0.00600	Loss 1.9351 (2.0015)	Prec@1 29.688 (31.548)	Prec@5 71.094 (72.545)
Epoch: [2][30/40], lr: 0.00600	Loss 1.7002 (1.9524)	Prec@1 49.219 (33.039)	Prec@5 83.594 (74.798)
Epoch [2] Training Results: Prec@1 34.160 Prec@5 76.700             Loss 1.91204
Epoch [2] Training Class Recall: [0.786,0.161,0.039,0.295,0.034,0.415,0.216,0.126,0.179,0.278]

Epoch: [3][0/40], lr: 0.00800	Loss 2.6936 (2.6936)	Prec@1 25.781 (25.781)	Prec@5 79.688 (79.688)
Epoch: [3][10/40], lr: 0.00800	Loss 2.0117 (2.0686)	Prec@1 26.562 (32.244)	Prec@5 74.219 (75.568)
Epoch: [3][20/40], lr: 0.00800	Loss 1.8226 (1.9661)	Prec@1 39.062 (33.110)	Prec@5 70.312 (75.632)
Epoch: [3][30/40], lr: 0.00800	Loss 1.7007 (1.9052)	Prec@1 39.062 (34.879)	Prec@5 81.250 (77.621)
Epoch [3] Training Results: Prec@1 35.620 Prec@5 78.480             Loss 1.88355
Epoch [3] Training Class Recall: [0.846,0.099,0.045,0.204,0.028,0.368,0.224,0.276,0.226,0.272]

Epoch: [4][0/40], lr: 0.01000	Loss 1.7934 (1.7934)	Prec@1 38.281 (38.281)	Prec@5 85.156 (85.156)
Epoch: [4][10/40], lr: 0.01000	Loss 1.6834 (1.7884)	Prec@1 40.625 (36.719)	Prec@5 81.250 (82.173)
Epoch: [4][20/40], lr: 0.01000	Loss 1.8107 (1.7629)	Prec@1 39.062 (37.649)	Prec@5 83.594 (82.812)
Epoch: [4][30/40], lr: 0.01000	Loss 1.6779 (1.7189)	Prec@1 42.969 (39.667)	Prec@5 83.594 (83.065)
Epoch [4] Training Results: Prec@1 39.560 Prec@5 82.940             Loss 1.71821
Epoch [4] Training Class Recall: [0.864,0.137,0.060,0.332,0.048,0.393,0.282,0.326,0.231,0.339]

Epoch: [5][0/40], lr: 0.01000	Loss 1.6826 (1.6826)	Prec@1 42.188 (42.188)	Prec@5 88.281 (88.281)
Epoch: [5][10/40], lr: 0.01000	Loss 1.6545 (1.6811)	Prec@1 44.531 (41.974)	Prec@5 83.594 (85.511)
Epoch: [5][20/40], lr: 0.01000	Loss 1.6659 (1.6364)	Prec@1 40.625 (41.927)	Prec@5 88.281 (85.975)
Epoch: [5][30/40], lr: 0.01000	Loss 1.3175 (1.6022)	Prec@1 57.031 (43.246)	Prec@5 91.406 (86.467)
Epoch [5] Training Results: Prec@1 43.600 Prec@5 86.780             Loss 1.58660
Epoch [5] Training Class Recall: [0.865,0.193,0.105,0.297,0.110,0.464,0.324,0.349,0.352,0.411]

Epoch: [6][0/40], lr: 0.01000	Loss 1.5773 (1.5773)	Prec@1 41.406 (41.406)	Prec@5 89.062 (89.062)
Epoch: [6][10/40], lr: 0.01000	Loss 1.6869 (1.7748)	Prec@1 42.188 (38.565)	Prec@5 86.719 (82.599)
Epoch: [6][20/40], lr: 0.01000	Loss 1.4261 (1.7310)	Prec@1 46.094 (39.062)	Prec@5 90.625 (83.333)
Epoch: [6][30/40], lr: 0.01000	Loss 1.5263 (1.6902)	Prec@1 49.219 (41.205)	Prec@5 85.156 (84.173)
Epoch [6] Training Results: Prec@1 42.320 Prec@5 85.140             Loss 1.64760
Epoch [6] Training Class Recall: [0.843,0.166,0.096,0.352,0.011,0.547,0.145,0.340,0.344,0.452]

Epoch: [7][0/40], lr: 0.01000	Loss 1.6373 (1.6373)	Prec@1 40.625 (40.625)	Prec@5 88.281 (88.281)
Epoch: [7][10/40], lr: 0.01000	Loss 1.7840 (1.8281)	Prec@1 38.281 (38.068)	Prec@5 85.156 (85.795)
Epoch: [7][20/40], lr: 0.01000	Loss 1.5276 (1.7650)	Prec@1 42.969 (39.583)	Prec@5 89.844 (85.677)
Epoch: [7][30/40], lr: 0.01000	Loss 1.3489 (1.6945)	Prec@1 54.688 (41.028)	Prec@5 89.062 (86.416)
Epoch [7] Training Results: Prec@1 42.480 Prec@5 86.740             Loss 1.67415
Epoch [7] Training Class Recall: [0.846,0.188,0.069,0.277,0.102,0.521,0.268,0.337,0.355,0.389]

Epoch: [8][0/40], lr: 0.01000	Loss 1.5685 (1.5685)	Prec@1 50.000 (50.000)	Prec@5 86.719 (86.719)
Epoch: [8][10/40], lr: 0.01000	Loss 1.6183 (1.6620)	Prec@1 45.312 (44.815)	Prec@5 89.062 (87.642)
Epoch: [8][20/40], lr: 0.01000	Loss 1.4615 (1.6187)	Prec@1 50.781 (46.577)	Prec@5 92.188 (87.277)
Epoch: [8][30/40], lr: 0.01000	Loss 1.4115 (1.5655)	Prec@1 55.469 (47.681)	Prec@5 92.188 (88.231)
Epoch [8] Training Results: Prec@1 48.380 Prec@5 89.240             Loss 1.52189
Epoch [8] Training Class Recall: [0.824,0.217,0.136,0.367,0.093,0.538,0.368,0.475,0.504,0.520]

Epoch: [9][0/40], lr: 0.01000	Loss 1.3146 (1.3146)	Prec@1 53.906 (53.906)	Prec@5 94.531 (94.531)
Epoch: [9][10/40], lr: 0.01000	Loss 1.4074 (1.4529)	Prec@1 50.000 (48.509)	Prec@5 90.625 (89.986)
Epoch: [9][20/40], lr: 0.01000	Loss 1.3222 (1.4215)	Prec@1 53.906 (50.484)	Prec@5 92.969 (90.253)
Epoch: [9][30/40], lr: 0.01000	Loss 1.2367 (1.3799)	Prec@1 53.906 (51.890)	Prec@5 95.312 (91.205)
Epoch [9] Training Results: Prec@1 52.920 Prec@5 91.600             Loss 1.35472
Epoch [9] Training Class Recall: [0.864,0.268,0.117,0.391,0.110,0.577,0.384,0.536,0.643,0.571]

Epoch: [10][0/40], lr: 0.01000	Loss 1.4107 (1.4107)	Prec@1 48.438 (48.438)	Prec@5 92.969 (92.969)
Epoch: [10][10/40], lr: 0.01000	Loss 1.5390 (1.4739)	Prec@1 50.781 (48.793)	Prec@5 85.938 (89.915)
Epoch: [10][20/40], lr: 0.01000	Loss 1.2731 (1.4299)	Prec@1 57.812 (50.186)	Prec@5 89.062 (90.253)
Epoch: [10][30/40], lr: 0.01000	Loss 1.1321 (1.3653)	Prec@1 64.844 (52.545)	Prec@5 93.750 (91.230)
Epoch [10] Training Results: Prec@1 54.120 Prec@5 91.880             Loss 1.32540
