Epoch: [0][0/40], lr: 0.00200	Loss 2.8728 (2.8728)	Prec@1 6.250 (6.250)	Prec@5 50.000 (50.000)
Epoch: [0][10/40], lr: 0.00200	Loss 2.3916 (2.4528)	Prec@1 22.656 (20.455)	Prec@5 66.406 (66.264)
Epoch: [0][20/40], lr: 0.00200	Loss 1.8784 (2.1132)	Prec@1 35.938 (29.018)	Prec@5 88.281 (75.744)
Epoch: [0][30/40], lr: 0.00200	Loss 1.3997 (1.9116)	Prec@1 48.438 (35.257)	Prec@5 91.406 (79.788)
Epoch [0] Training Results: Prec@1 39.000 Prec@5 82.140             Loss 1.79474
Epoch [0] Training Class Recall: [0.683,0.009,0.004,0.009,0.102,0.475,0.657,0.136,0.239,0.503]

Epoch: [1][0/40], lr: 0.00400	Loss 1.4524 (1.4524)	Prec@1 50.781 (50.781)	Prec@5 91.406 (91.406)
Epoch: [1][10/40], lr: 0.00400	Loss 1.3304 (1.4790)	Prec@1 56.250 (50.213)	Prec@5 91.406 (88.778)
Epoch: [1][20/40], lr: 0.00400	Loss 1.2183 (1.3839)	Prec@1 59.375 (53.571)	Prec@5 88.281 (90.588)
Epoch: [1][30/40], lr: 0.00400	Loss 1.0423 (1.2894)	Prec@1 66.406 (56.250)	Prec@5 97.656 (92.061)
Epoch [1] Training Results: Prec@1 58.280 Prec@5 92.860             Loss 1.22091
Epoch [1] Training Class Recall: [0.866,0.190,0.026,0.119,0.131,0.601,0.760,0.413,0.726,0.746]

Epoch: [2][0/40], lr: 0.00600	Loss 0.8911 (0.8911)	Prec@1 70.312 (70.312)	Prec@5 96.094 (96.094)
Epoch: [2][10/40], lr: 0.00600	Loss 1.5245 (1.1689)	Prec@1 48.438 (60.511)	Prec@5 88.281 (94.176)
Epoch: [2][20/40], lr: 0.00600	Loss 0.7460 (1.1305)	Prec@1 71.094 (62.202)	Prec@5 100.000 (94.271)
