Epoch: [0][0/40], lr: 0.00200	Loss 2.8729 (2.8729)	Prec@1 6.250 (6.250)	Prec@5 50.000 (50.000)
Epoch: [0][10/40], lr: 0.00200	Loss 2.3866 (2.4529)	Prec@1 21.875 (20.241)	Prec@5 66.406 (66.619)
Epoch: [0][20/40], lr: 0.00200	Loss 1.8999 (2.1177)	Prec@1 35.938 (28.981)	Prec@5 88.281 (76.116)
Epoch: [0][30/40], lr: 0.00200	Loss 1.3864 (1.9166)	Prec@1 49.219 (35.333)	Prec@5 91.406 (79.990)
Epoch [0] Training Results: Prec@1 39.140 Prec@5 82.360             Loss 1.79743
Epoch [0] Training Class Recall: [0.686,0.014,0.004,0.015,0.105,0.470,0.645,0.147,0.252,0.501]

Epoch: [1][0/40], lr: 0.00400	Loss 1.4738 (1.4738)	Prec@1 48.438 (48.438)	Prec@5 89.844 (89.844)
Epoch: [1][10/40], lr: 0.00400	Loss 1.4072 (1.5017)	Prec@1 55.469 (49.006)	Prec@5 94.531 (89.134)
Epoch: [1][20/40], lr: 0.00400	Loss 1.1332 (1.3695)	Prec@1 59.375 (53.869)	Prec@5 92.188 (91.257)
Epoch: [1][30/40], lr: 0.00400	Loss 1.1591 (1.2806)	Prec@1 66.406 (56.678)	Prec@5 96.875 (92.641)
Epoch [1] Training Results: Prec@1 59.460 Prec@5 93.540             Loss 1.19644
Epoch [1] Training Class Recall: [0.861,0.145,0.047,0.110,0.144,0.652,0.746,0.460,0.763,0.751]

Epoch: [2][0/40], lr: 0.00600	Loss 0.8639 (0.8639)	Prec@1 76.562 (76.562)	Prec@5 96.094 (96.094)
Epoch: [2][10/40], lr: 0.00600	Loss 1.2184 (1.1471)	Prec@1 57.812 (63.352)	Prec@5 96.875 (93.892)
Epoch: [2][20/40], lr: 0.00600	Loss 0.7603 (1.0876)	Prec@1 78.125 (64.658)	Prec@5 97.656 (94.494)
Epoch: [2][30/40], lr: 0.00600	Loss 0.7885 (1.0183)	Prec@1 73.438 (66.431)	Prec@5 97.656 (95.086)
Epoch [2] Training Results: Prec@1 67.840 Prec@5 95.260             Loss 0.97891
Epoch [2] Training Class Recall: [0.875,0.326,0.099,0.167,0.272,0.663,0.787,0.665,0.871,0.903]

Epoch: [3][0/40], lr: 0.00800	Loss 1.1102 (1.1102)	Prec@1 57.031 (57.031)	Prec@5 98.438 (98.438)
Epoch: [3][10/40], lr: 0.00800	Loss 0.6085 (0.9333)	Prec@1 78.906 (70.952)	Prec@5 98.438 (96.236)
Epoch: [3][20/40], lr: 0.00800	Loss 0.6317 (0.8639)	Prec@1 80.469 (71.987)	Prec@5 97.656 (97.359)
Epoch: [3][30/40], lr: 0.00800	Loss 0.6568 (0.7956)	Prec@1 81.250 (73.664)	Prec@5 100.000 (97.908)
Epoch [3] Training Results: Prec@1 74.360 Prec@5 97.980             Loss 0.77419
Epoch [3] Training Class Recall: [0.886,0.498,0.121,0.235,0.331,0.726,0.873,0.862,0.942,0.925]

Epoch: [4][0/40], lr: 0.01000	Loss 0.5916 (0.5916)	Prec@1 78.125 (78.125)	Prec@5 100.000 (100.000)
Epoch: [4][10/40], lr: 0.01000	Loss 0.7554 (0.8116)	Prec@1 72.656 (73.793)	Prec@5 97.656 (98.295)
Epoch: [4][20/40], lr: 0.01000	Loss 0.6188 (0.7747)	Prec@1 81.250 (74.405)	Prec@5 98.438 (98.065)
Epoch: [4][30/40], lr: 0.01000	Loss 0.7580 (0.7428)	Prec@1 75.000 (74.975)	Prec@5 96.875 (98.261)
Epoch [4] Training Results: Prec@1 75.600 Prec@5 98.300             Loss 0.73180
Epoch [4] Training Class Recall: [0.893,0.475,0.116,0.318,0.436,0.762,0.855,0.836,0.944,0.925]

Epoch: [5][0/40], lr: 0.01000	Loss 1.9413 (1.9413)	Prec@1 51.562 (51.562)	Prec@5 97.656 (97.656)
Epoch: [5][10/40], lr: 0.01000	Loss 0.9475 (1.2216)	Prec@1 73.438 (65.199)	Prec@5 93.750 (94.886)
Epoch: [5][20/40], lr: 0.01000	Loss 0.7353 (1.0481)	Prec@1 73.438 (68.080)	Prec@5 98.438 (96.057)
